,window,time_step,name_dataset,name_model,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB
0,0,PM2.5 (t+5),AQB4,LSTM,28.18,283938,311.36395263671875,529.8084259033203,52.391088008880615,287.0364685058594,-5.406231817508633,8234.684422921711,-0.9340621810000053
1,0,PM2.5 (t+10),AQB4,LSTM,28.18,283938,322.8754577636719,545.9922313690186,54.42066192626953,303.2269287109375,-7.138140173250475,8436.988038277512,-0.9902121109038268
2,0,PM2.5 (t+15),AQB4,LSTM,28.18,283938,306.40533447265625,412.59121894836426,50.571125745773315,286.1045837402344,-6.481681627934818,8077.465808527755,-0.9176351994447787
3,0,PM2.5 (t+20),AQB4,LSTM,28.18,283938,286.6443786621094,341.0893201828003,46.474841237068176,262.2478942871094,-3.7800289621115315,7788.360696517413,-0.8024168671740401
4,0,PM2.5 (t+25),AQB4,LSTM,28.18,283938,292.35076904296875,346.0916757583618,46.659547090530396,267.747802734375,-2.6803998945789296,7738.085621970921,-0.7638898985359236
5,0,PM2.5 (t+30),AQB4,LSTM,28.18,283938,284.5866394042969,320.84813117980957,44.01710033416748,258.435791015625,-1.1825582562635137,7656.268472906404,-0.6151759732502378
6,1,PM2.5 (t+5),AQB4,LSTM,26.35,283938,200.92404174804688,99.72591996192932,24.39018338918686,160.10638427734375,-0.0024343369765049694,927.1763131953246,0.028443243594580742
7,1,PM2.5 (t+10),AQB4,LSTM,26.35,283938,202.9795379638672,97.22930788993835,24.263496696949005,162.50274658203125,-0.01612434852509259,916.4003168917058,0.07169890714878271
8,1,PM2.5 (t+15),AQB4,LSTM,26.35,283938,194.89744567871094,97.12357521057129,23.64894598722458,157.5592041015625,-0.013992470944219626,879.4270862021482,0.0634207673383604
9,1,PM2.5 (t+20),AQB4,LSTM,26.35,283938,214.2781524658203,91.89879298210144,23.86258840560913,170.9988250732422,-0.08524941606867009,985.6073133071309,0.16115120466333976
10,1,PM2.5 (t+25),AQB4,LSTM,26.35,283938,223.89620971679688,127.84740924835205,27.16728448867798,182.564208984375,-0.04823840343027985,1043.4690655667757,0.13215740374999937
11,1,PM2.5 (t+30),AQB4,LSTM,26.35,283938,231.0026092529297,138.79797458648682,29.49550449848175,190.0451202392578,-0.03806605796697249,1101.0172363636364,0.1253506920876815
12,2,PM2.5 (t+5),AQB4,LSTM,26.79,283938,185.27993774414062,120.54088115692139,28.786700963974,159.09722900390625,-0.04638804765030402,1.2377215130520052,-0.1328247802704693
13,2,PM2.5 (t+10),AQB4,LSTM,26.79,283938,180.29840087890625,118.24722290039062,27.4814635515213,150.50088500976562,0.004469612707069581,0.9525053086531813,-0.08925774779199167
14,2,PM2.5 (t+15),AQB4,LSTM,26.79,283938,183.2794189453125,104.98740673065186,28.233489394187927,153.16226196289062,-0.028213350198650566,0.8124032551321195,-0.052973247513146526
15,2,PM2.5 (t+20),AQB4,LSTM,26.79,283938,191.14932250976562,111.55503988265991,28.255504369735718,155.32818603515625,-0.14289805446856674,0.7890766297698694,-0.012042099366123393
16,2,PM2.5 (t+25),AQB4,LSTM,26.79,283938,197.84437561035156,126.94441080093384,29.631495475769043,164.8785858154297,-0.2701134216158674,0.8370952468017699,-0.05787850902249942
17,2,PM2.5 (t+30),AQB4,LSTM,26.79,283938,196.99256896972656,129.98343706130981,30.476585030555725,166.8220977783203,-0.31330484614741727,0.9760807719549098,-0.15238600938434083
18,3,PM2.5 (t+5),AQB4,LSTM,26.76,283938,148.13717651367188,191.2471055984497,32.6448917388916,127.90289306640625,-0.08674071885192514,420.96600468302836,-0.17956085363577928
19,3,PM2.5 (t+10),AQB4,LSTM,26.76,283938,155.5229949951172,192.9489254951477,33.38478207588196,134.66073608398438,-0.049624951740129486,435.40326370199494,-0.14283423951555174
20,3,PM2.5 (t+15),AQB4,LSTM,26.76,283938,169.1908721923828,165.34483432769775,31.681537628173828,139.39466857910156,-0.006809431676633837,471.53276631937064,-0.05621950503102094
