,window,time_step,name_dataset,name_model,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB
0,0,PM2.5 (t+5),AQB8,TCN,19.34,12534,488.40118408203125,378.7635564804077,46.885353326797485,439.7928466796875,-4.313307130641889,4.924701344051775,-0.8247856024026394
1,0,PM2.5 (t+10),AQB8,TCN,19.34,12534,448.6667785644531,258.4644556045532,40.834787487983704,398.45794677734375,-3.088318746099783,4.5255593109732075,-0.6987934918095644
2,0,PM2.5 (t+15),AQB8,TCN,19.34,12534,458.1917724609375,237.77649402618408,39.63043391704559,407.1424865722656,-0.575965451190884,4.795098239607553,-0.4632982586038975
3,0,PM2.5 (t+20),AQB8,TCN,19.34,12534,461.4777526855469,166.25263690948486,33.0960214138031,387.98809814453125,-0.0843073352165753,4.930756433716837,-0.1757226130192183
4,0,PM2.5 (t+25),AQB8,TCN,19.34,12534,444.29241943359375,156.8971872329712,32.09396004676819,360.1077575683594,0.0024734514285219555,5.1681238937676115,-0.0845258252913592
5,0,PM2.5 (t+30),AQB8,TCN,19.34,12534,448.41461181640625,155.1921010017395,31.53623938560486,354.7236022949219,-0.022620809871545244,5.351443110335444,-0.06258075060051607
6,1,PM2.5 (t+5),AQB8,TCN,17.86,12534,401.22357177734375,73.86424541473389,22.758987545967102,306.57928466796875,-0.11131760868292973,4.701701973047086,0.15817012217114393
7,1,PM2.5 (t+10),AQB8,TCN,17.86,12534,413.9261474609375,68.59788298606873,23.152123391628265,322.98858642578125,-0.1989726312762079,4.895503878207326,0.25147738983499207
8,1,PM2.5 (t+15),AQB8,TCN,17.86,12534,456.6186828613281,106.85988664627075,28.52199375629425,372.03253173828125,-0.14029438494977198,5.407630506122331,0.23808046042372571
9,1,PM2.5 (t+20),AQB8,TCN,17.86,12534,460.8124084472656,112.15076446533203,30.493390560150146,384.0431823730469,-0.07501261718149199,5.600288472379641,0.23411387865166802
10,1,PM2.5 (t+25),AQB8,TCN,17.86,12534,457.3735656738281,86.17836833000183,27.82594859600067,378.693359375,-0.20132534074963093,5.505059791863487,0.29430074219862884
11,1,PM2.5 (t+30),AQB8,TCN,17.86,12534,469.2832336425781,88.00116181373596,28.56626808643341,391.8765869140625,-0.2942978435473449,5.968426956261863,0.3165390720881688
12,2,PM2.5 (t+5),AQB8,TCN,18.39,12534,335.869140625,79.60227131843567,25.315597653388977,272.3507995605469,0.028121023862828776,1.272962489814401,0.08488649455914066
13,2,PM2.5 (t+10),AQB8,TCN,18.39,12534,353.02587890625,82.08253383636475,26.59776508808136,288.2804870605469,-0.07113656860574769,1.3764798737174428,0.11114219674596995
14,2,PM2.5 (t+15),AQB8,TCN,18.39,12534,341.37274169921875,85.770583152771,25.74022114276886,273.9344177246094,-0.10330076499505014,1.2921942751209703,0.052384759948820955
15,2,PM2.5 (t+20),AQB8,TCN,18.39,12534,309.1995544433594,81.49784803390503,24.587073922157288,255.9834442138672,0.08771133827582378,1.1524623666933933,0.03541610319646297
16,2,PM2.5 (t+25),AQB8,TCN,18.39,12534,341.3665771484375,58.81778001785278,23.774288594722748,269.15606689453125,-0.08838465652325489,1.3629947160026588,0.17452972058899932
17,2,PM2.5 (t+30),AQB8,TCN,18.39,12534,277.01983642578125,56.8950891494751,21.155467629432678,215.9404296875,-0.014396391055804925,1.1001554598877252,0.05301620728122362
18,3,PM2.5 (t+5),AQB8,TCN,26.91,12534,260.2817687988281,136.4722490310669,30.530977249145508,228.8069305419922,-0.005419908343111457,2.7081459536952806,-0.02431809420801912
19,3,PM2.5 (t+10),AQB8,TCN,26.91,12534,316.8004455566406,114.3120527267456,28.63800823688507,250.04171752929688,0.00624666972805199,3.1140614753827887,0.10209953096701858
20,3,PM2.5 (t+15),AQB8,TCN,26.91,12534,332.40936279296875,61.24143600463867,25.71505606174469,254.6819610595703,-0.24344893818575764,3.5847186925920878,0.3044828198845319
21,3,PM2.5 (t+20),AQB8,TCN,26.91,12534,331.74383544921875,64.76786136627197,26.482006907463074,257.906982421875,-0.203453924530427,3.680090321575956,0.27183327966223675
22,3,PM2.5 (t+25),AQB8,TCN,26.91,12534,326.6933898925781,60.041505098342896,26.057350635528564,253.1784210205078,-0.19026911291041926,3.6764228720024783,0.31140145223007226
23,3,PM2.5 (t+30),AQB8,TCN,26.91,12534,349.76959228515625,56.944042444229126,26.55946910381317,281.50250244140625,-0.3889590554896325,3.936098604657552,0.36323640052221295
24,4,PM2.5 (t+5),AQB8,TCN,18.57,12534,741.41357421875,123.83886575698853,39.513787627220154,538.7660522460938,-0.15802969530257194,12.04355871984914,0.45165924058260465
25,4,PM2.5 (t+10),AQB8,TCN,18.57,12534,752.45458984375,130.07464408874512,40.59806764125824,565.2517700195312,-0.21756636684005315,12.011648990846247,0.47875243449711863
26,4,PM2.5 (t+15),AQB8,TCN,18.57,12534,720.3839721679688,131.8614363670349,39.65590298175812,546.8831176757812,-0.17716909519633273,10.808987302879599,0.42679863566024456
27,4,PM2.5 (t+20),AQB8,TCN,18.57,12534,781.1913452148438,118.22538375854492,39.59933817386627,588.6603393554688,-0.2899241218245989,12.287574841029565,0.5563333278505677
28,4,PM2.5 (t+25),AQB8,TCN,18.57,12534,772.173828125,139.4059419631958,41.0245805978775,601.3878173828125,-0.22201874012600786,11.194544346869675,0.466883852228286
29,4,PM2.5 (t+30),AQB8,TCN,18.57,12534,826.0111083984375,153.6481261253357,43.66556704044342,644.6206665039062,-0.32595579073150494,12.963627533528937,0.5754914637565776
30,5,PM2.5 (t+5),AQB8,TCN,28.13,12534,704.1714477539062,200.53157806396484,39.870646595954895,476.8642272949219,-0.03367793683312881,13.011196457913476,0.22023387916106238
31,5,PM2.5 (t+10),AQB8,TCN,28.13,12534,705.8328857421875,219.89271640777588,42.60631799697876,480.3198547363281,-0.010864796218051032,13.038616263704546,0.16346810790089186
32,5,PM2.5 (t+15),AQB8,TCN,28.13,12534,709.52392578125,219.05193328857422,43.13994646072388,484.0917663574219,-0.014664686322360732,13.474240085865414,0.13435046057375577
33,5,PM2.5 (t+20),AQB8,TCN,28.13,12534,540.91650390625,214.3200159072876,41.6498064994812,384.0738525390625,0.002578628297728147,10.611050613473978,-0.08462590477221527
34,5,PM2.5 (t+25),AQB8,TCN,28.13,12534,414.24322509765625,164.73407745361328,37.087178230285645,337.9979553222656,-0.01708019604747224,7.918332322195258,-0.12260599960165047
35,5,PM2.5 (t+30),AQB8,TCN,28.13,12534,616.2396240234375,115.56923389434814,36.04462742805481,445.3136901855469,-0.06351935867646352,11.719925848453649,0.2811696121661496
36,6,PM2.5 (t+5),AQB8,TCN,26.92,12534,571.952392578125,219.96612548828125,40.18477201461792,470.2115173339844,-0.04373965396380064,4.9685191022394175,0.1730819530313801
37,6,PM2.5 (t+10),AQB8,TCN,26.92,12534,581.37939453125,267.64893531799316,40.17972648143768,472.72210693359375,-0.08322249748920818,5.022504281508104,0.17620729445484543
38,6,PM2.5 (t+15),AQB8,TCN,26.92,12534,506.0027160644531,270.06373405456543,36.99246644973755,409.1646423339844,0.019855735057457746,4.095777129924545,0.047075540277109786
39,6,PM2.5 (t+20),AQB8,TCN,26.92,12534,417.7100830078125,280.73763847351074,33.972471952438354,345.20361328125,-0.06727030284030211,3.29256549036588,-0.08882566682205315
40,6,PM2.5 (t+25),AQB8,TCN,26.92,12534,418.62982177734375,312.3079776763916,37.698736786842346,352.7257080078125,0.010068426101075278,3.6496888189807652,-0.019635517400422492
41,6,PM2.5 (t+30),AQB8,TCN,26.92,12534,418.208984375,306.8211317062378,36.329540610313416,344.3885498046875,-0.00852656387230355,3.6319177096866353,-0.017832088385151972
42,7,PM2.5 (t+5),AQB8,TCN,17.63,12534,497.2050476074219,288.16633224487305,38.32453787326813,428.6737976074219,-0.45171446794804226,1.2697411982335678,-0.4068292824419414
43,7,PM2.5 (t+10),AQB8,TCN,17.63,12534,665.3729858398438,314.8016929626465,45.05813121795654,594.4888916015625,-0.3027328346137905,1.6966630984482765,-0.20806125235295975
44,7,PM2.5 (t+15),AQB8,TCN,17.63,12534,806.4492797851562,202.5747537612915,42.53343641757965,664.8357543945312,-0.13804228917112904,2.1115701257637998,0.0855139855764084
45,7,PM2.5 (t+20),AQB8,TCN,17.63,12534,812.903076171875,129.8561692237854,35.20653545856476,611.0581665039062,-0.18853621226810247,2.133884185235434,0.2152173961633358
46,7,PM2.5 (t+25),AQB8,TCN,17.63,12534,780.6441040039062,147.96282052993774,37.22776472568512,616.1864624023438,-0.036678629573232424,1.999867562302008,0.1462067612678139
47,7,PM2.5 (t+30),AQB8,TCN,17.63,12534,777.09423828125,168.93978118896484,37.136971950531006,637.7118530273438,-0.011793704631232194,1.8968096817220148,0.12398779244684123
48,8,PM2.5 (t+5),AQB8,TCN,26.83,12534,320.2381896972656,63.22842240333557,22.922347486019135,290.2032775878906,-0.0965441771284985,2.9587775631113624,-0.06646359622685707
49,8,PM2.5 (t+10),AQB8,TCN,26.83,12534,349.60418701171875,89.76291418075562,27.005478739738464,315.3836364746094,-0.29630963281726386,3.2434289577725104,-0.2123427194174177
50,8,PM2.5 (t+15),AQB8,TCN,26.83,12534,357.6548767089844,101.34426355361938,29.058894515037537,320.2732238769531,-0.5246307814393096,3.377922628174827,-0.3204518643230164
51,8,PM2.5 (t+20),AQB8,TCN,26.83,12534,327.8254699707031,103.9907455444336,28.74237895011902,294.4022216796875,-1.049088588533849,3.1468086016364762,-0.4210699870426401
52,8,PM2.5 (t+25),AQB8,TCN,26.83,12534,329.4988708496094,101.29622220993042,28.484803438186646,297.8464660644531,-1.1194006624761998,3.1349719632897957,-0.4100775256845155
53,8,PM2.5 (t+30),AQB8,TCN,26.83,12534,306.15899658203125,87.80574202537537,25.445544719696045,269.3619079589844,-0.4480377966987341,3.026552960207365,-0.27728536785680313
54,9,PM2.5 (t+5),AQB8,TCN,210.41,12534,394.773681640625,69.78340744972229,29.0488600730896,318.7876281738281,-0.17792187393811765,9.493636755269923,0.28631600918195127
55,9,PM2.5 (t+10),AQB8,TCN,210.41,12534,379.18023681640625,69.56572532653809,28.238004446029663,298.16253662109375,-0.11239341576257078,9.027012064613904,0.23975850735514947
56,9,PM2.5 (t+15),AQB8,TCN,210.41,12534,345.75225830078125,74.0297019481659,27.008923888206482,278.10638427734375,-0.025078041138652862,7.471770507847278,0.12131466355043975
57,9,PM2.5 (t+20),AQB8,TCN,210.41,12534,439.8113708496094,73.80090355873108,28.804007172584534,323.57958984375,-0.08716726942338893,9.891297394942526,0.225740314699401
58,9,PM2.5 (t+25),AQB8,TCN,210.41,12534,536.7620239257812,78.96230816841125,31.72547221183777,403.0059814453125,-0.15571952978723758,11.847266696932671,0.33610123219721794
59,9,PM2.5 (t+30),AQB8,TCN,210.41,12534,638.491943359375,75.67856311798096,34.86827313899994,488.7966613769531,-0.37441041156430765,14.697267440185959,0.5323874336053086
60,10,PM2.5 (t+5),AQB8,TCN,19.96,12534,345.9752197265625,132.31688737869263,33.38306248188019,313.6281433105469,-0.19829704333363796,3.7959245992602964,-0.27751550085913956
61,10,PM2.5 (t+10),AQB8,TCN,19.96,12534,345.1903076171875,149.3012547492981,33.79132151603699,307.7127380371094,-1.4249213241366152,3.5606099048149087,-0.5028857403049761
62,10,PM2.5 (t+15),AQB8,TCN,19.96,12534,317.3552551269531,121.2085485458374,30.653366446495056,279.5114440917969,-1.4729138568223052,3.3364959002455103,-0.47154505302876143
63,10,PM2.5 (t+20),AQB8,TCN,19.96,12534,295.42523193359375,99.99749064445496,27.215397357940674,259.43408203125,-0.5721207721708195,3.084743915589398,-0.3229817010996445
64,10,PM2.5 (t+25),AQB8,TCN,19.96,12534,309.7442626953125,96.1505651473999,28.004190325737,273.9827880859375,-0.1895550760030691,3.3989978855264047,-0.21503024091461473
65,10,PM2.5 (t+30),AQB8,TCN,19.96,12534,317.8544921875,96.16939425468445,28.668054938316345,281.85296630859375,-0.08484040477266097,3.6266399250678116,-0.15345279474803694
66,11,PM2.5 (t+5),AQB8,TCN,39.36,12534,349.92840576171875,56.56992197036743,24.501924216747284,271.15008544921875,-0.2262269956338252,6.813634335174039,0.2965692673651696
67,11,PM2.5 (t+10),AQB8,TCN,39.36,12534,344.2998046875,55.87179660797119,23.72857630252838,261.8748779296875,-0.18385997327410109,6.105793189144022,0.2728964954912787
68,11,PM2.5 (t+15),AQB8,TCN,39.36,12534,314.30474853515625,75.01084208488464,25.23893415927887,245.12945556640625,-0.03684928420870737,5.363206987125143,0.08146257746924887
69,11,PM2.5 (t+20),AQB8,TCN,39.36,12534,424.54833984375,70.52880525588989,27.410468459129333,298.00201416015625,-0.12352840584595604,8.045214573175564,0.28098028955792703
70,11,PM2.5 (t+25),AQB8,TCN,39.36,12534,872.410400390625,71.69580459594727,30.523869395256042,513.89306640625,-0.19807470472611044,15.84271198463785,0.552030261107876
71,11,PM2.5 (t+30),AQB8,TCN,39.36,12534,1157.4276123046875,72.76248335838318,35.697728395462036,722.2115478515625,-0.3521851202867261,22.306175537693065,0.7983855076139657
72,12,PM2.5 (t+5),AQB8,TCN,22.91,12534,679.8794555664062,354.5118570327759,43.527013063430786,553.589599609375,-0.03287769787585337,3.239472070931853,-0.2596691694243081
73,12,PM2.5 (t+10),AQB8,TCN,22.91,12534,838.4723510742188,337.03198432922363,44.212186336517334,645.963134765625,-0.035318383443246004,4.19016999774898,-0.020570919259623194
74,12,PM2.5 (t+15),AQB8,TCN,22.91,12534,831.2406616210938,365.1519536972046,45.314013957977295,673.3714599609375,-0.00917927192056145,3.690255607372682,-0.10536542071561708
75,12,PM2.5 (t+20),AQB8,TCN,22.91,12534,827.658203125,353.95026206970215,45.673513412475586,673.6781005859375,0.015172799626036237,3.72958873275385,-0.056147254235521624
76,12,PM2.5 (t+25),AQB8,TCN,22.91,12534,924.3211059570312,170.1862931251526,40.67985117435455,714.672119140625,-0.14809286984831815,4.857440740903491,0.3196124892795749
77,12,PM2.5 (t+30),AQB8,TCN,22.91,12534,915.6405639648438,135.9979271888733,38.47727179527283,694.1544799804688,-0.17732611543381105,5.205958697560789,0.41697402999821065
78,13,PM2.5 (t+5),AQB8,TCN,16.78,12534,427.4787292480469,80.69730401039124,23.620690405368805,277.1433410644531,-0.12821208326876277,4.036083406951771,0.25399921485054117
79,13,PM2.5 (t+10),AQB8,TCN,16.78,12534,479.9820861816406,91.01467728614807,28.442850708961487,335.8184509277344,-0.2126418364527185,4.644986101709732,0.3314481169518317
80,13,PM2.5 (t+15),AQB8,TCN,16.78,12534,522.2764282226562,97.22214341163635,32.66367316246033,386.0787048339844,-0.24222765828712922,5.330124785178015,0.42092375847596636
81,13,PM2.5 (t+20),AQB8,TCN,16.78,12534,561.9830322265625,107.24835395812988,36.97353005409241,433.6099548339844,-0.34295516324610253,6.153824046987459,0.49400293090933634
82,13,PM2.5 (t+25),AQB8,TCN,16.78,12534,623.5944213867188,117.66421794891357,38.69312107563019,499.5148010253906,-0.38160567618884844,6.192182445958403,0.5057913439183437
83,13,PM2.5 (t+30),AQB8,TCN,16.78,12534,903.227783203125,103.42532396316528,42.541077733039856,685.6582641601562,-0.6704879568915247,9.272581676002858,0.7644001453956016
84,14,PM2.5 (t+5),AQB8,TCN,27.94,12534,763.9949340820312,110.89295148849487,42.1713262796402,608.338134765625,-0.3316593365196885,9.933988970252697,0.5503891120350973
85,14,PM2.5 (t+10),AQB8,TCN,27.94,12534,744.4144897460938,134.15321111679077,42.86075532436371,602.4681396484375,-0.21647366621585107,8.937365099429346,0.4521595290626166
86,14,PM2.5 (t+15),AQB8,TCN,27.94,12534,731.9301147460938,145.63672542572021,43.99164319038391,583.9940795898438,-0.13682959432966313,9.23428529626357,0.4246608221479232
87,14,PM2.5 (t+20),AQB8,TCN,27.94,12534,537.18798828125,156.11220598220825,41.93525016307831,458.5055847167969,-0.050131282334771265,6.680986682870749,0.1636888109833931
88,14,PM2.5 (t+25),AQB8,TCN,27.94,12534,505.78802490234375,170.05542516708374,42.983224987983704,433.6343078613281,-0.011933939641101565,6.771603465379706,0.15821223107111854
89,14,PM2.5 (t+30),AQB8,TCN,27.94,12534,470.42926025390625,167.52300262451172,41.55958890914917,406.19085693359375,-0.005152353438371504,6.315381810583931,0.12141421188715015
90,15,PM2.5 (t+5),AQB8,TCN,27.55,12534,460.4241943359375,124.35579299926758,34.301236271858215,358.47821044921875,-0.0031797468153611508,9.957509325772396,0.053877080258723814
91,15,PM2.5 (t+10),AQB8,TCN,27.55,12534,469.82611083984375,132.02441930770874,34.90775525569916,377.69769287109375,0.005352672721013363,9.287121915907584,0.05542865141942057
