,window,time_step,name_dataset,name_model,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB
0,0,Global_active_power (t+5),HPC6,BLSTM,48.83,148374,307.5799865722656,86.19044423103333,24.172231554985046,249.31556701660156,-0.014842100284774506,15.379844168686024,-0.05880008152553707
1,0,Global_active_power (t+10),HPC6,BLSTM,48.83,148374,330.67437744140625,87.49787211418152,24.98234361410141,267.5929870605469,-0.0008814970673001188,16.453530006650936,-0.014590880487627503
2,0,Global_active_power (t+15),HPC6,BLSTM,48.83,148374,306.88031005859375,86.51360273361206,24.480564892292023,259.9647521972656,-0.010017031566777357,14.970439800272139,-0.061500519316955084
3,0,Global_active_power (t+20),HPC6,BLSTM,48.83,148374,306.09490966796875,83.34265351295471,24.44477379322052,257.69378662109375,-0.01616739141861645,15.278634535705581,-0.05847875846743607
4,0,Global_active_power (t+25),HPC6,BLSTM,48.83,148374,307.296875,91.11748933792114,25.236421823501587,257.79400634765625,-0.041199142803061806,15.154508349687564,-0.09981193533394137
5,0,Global_active_power (t+30),HPC6,BLSTM,48.83,148374,304.7781982421875,89.00606036186218,25.123611092567444,255.19224548339844,-0.011948255099221594,15.153909649852208,-0.06269181781787815
6,1,Global_active_power (t+5),HPC6,BLSTM,28.91,148374,309.9201354980469,67.12769269943237,27.94260084629059,252.55599975585938,-0.21580053384433562,8.213948436064344,0.2817153212249192
7,1,Global_active_power (t+10),HPC6,BLSTM,28.91,148374,302.4361572265625,58.243221044540405,26.14864408969879,239.60386657714844,-0.2443792899880064,8.279131471420945,0.31339684188409556
8,1,Global_active_power (t+15),HPC6,BLSTM,28.91,148374,313.0661926269531,61.68084740638733,27.485132217407227,248.376953125,-0.3106711925687835,8.792492757598094,0.33032599431254694
9,1,Global_active_power (t+20),HPC6,BLSTM,28.91,148374,319.3507385253906,59.56694483757019,26.36086344718933,245.0067596435547,-0.20899641966608007,9.06912722362717,0.3239944772941911
10,1,Global_active_power (t+25),HPC6,BLSTM,28.91,148374,311.6958923339844,60.94101071357727,26.167061924934387,240.5123748779297,-0.21209684941945794,8.593826436469225,0.28748745105316
11,1,Global_active_power (t+30),HPC6,BLSTM,28.91,148374,310.79022216796875,58.18195343017578,25.939401984214783,237.2631072998047,-0.19642934892262764,8.489029002311483,0.30488954519712136
12,2,Global_active_power (t+5),HPC6,BLSTM,31.04,148374,218.26121520996094,69.56972479820251,29.148855805397034,180.06982421875,-0.14895005748731238,4.150310708226739,0.24562192341296055
13,2,Global_active_power (t+10),HPC6,BLSTM,31.04,148374,212.67318725585938,64.95513319969177,27.693232893943787,170.4387969970703,-0.11082971304182254,3.9176051417170874,0.2592834017127801
14,2,Global_active_power (t+15),HPC6,BLSTM,31.04,148374,224.3703155517578,68.53628158569336,29.30828034877777,180.04014587402344,-0.2307539256847866,4.306283006938101,0.28605727923923796
15,2,Global_active_power (t+20),HPC6,BLSTM,31.04,148374,231.22769165039062,60.441845655441284,28.507837653160095,179.86083984375,-0.21909477593075888,4.4011096773519,0.36677602754086547
16,2,Global_active_power (t+25),HPC6,BLSTM,31.04,148374,244.46041870117188,66.00632071495056,30.30666708946228,192.94056701660156,-0.28851117764250955,4.978376431624907,0.3724027634305477
17,2,Global_active_power (t+30),HPC6,BLSTM,31.04,148374,237.138916015625,62.37722039222717,29.3383926153183,185.5157928466797,-0.24652361341488405,4.693757999795833,0.375256354664127
18,3,Global_active_power (t+5),HPC6,BLSTM,26.14,148374,196.08338928222656,103.22234630584717,30.304434895515442,152.8491668701172,-0.012869171106022259,17.65118416100524,-0.08786356136568434
19,3,Global_active_power (t+10),HPC6,BLSTM,26.14,148374,201.43142700195312,112.8907561302185,32.063525915145874,161.42494201660156,-0.02180242294341017,18.739722332633015,-0.09889217388604966
20,3,Global_active_power (t+15),HPC6,BLSTM,26.14,148374,202.83944702148438,104.7053575515747,31.423220038414,162.44778442382812,0.0008605210462904189,18.288747702433493,-0.05961194912602973
21,3,Global_active_power (t+20),HPC6,BLSTM,26.14,148374,207.76341247558594,103.62539291381836,31.47645592689514,164.90504455566406,-0.004204087302397186,19.659287205565132,-0.028009614350094112
22,3,Global_active_power (t+25),HPC6,BLSTM,26.14,148374,192.95164489746094,104.8931360244751,30.3924560546875,154.13467407226562,-0.007090598395664394,17.32021208402275,-0.09953049228622961
23,3,Global_active_power (t+30),HPC6,BLSTM,26.14,148374,180.19717407226562,103.98876667022705,29.93742823600769,146.0663299560547,-0.08312899959330533,16.170396133148937,-0.18237460151697416
24,4,Global_active_power (t+5),HPC6,BLSTM,21.94,148374,167.76748657226562,56.58068060874939,26.384559273719788,125.80852508544922,-0.17818946837709948,181.28293487221765,0.3002117816517146
25,4,Global_active_power (t+10),HPC6,BLSTM,21.94,148374,180.67251586914062,51.454490423202515,26.094061136245728,133.63540649414062,-0.2992316972925133,203.91544104983984,0.3825749835304145
26,4,Global_active_power (t+15),HPC6,BLSTM,21.94,148374,188.10069274902344,52.53509283065796,27.52050757408142,141.603271484375,-0.3585497623727818,213.65698389864292,0.426198998844127
27,4,Global_active_power (t+20),HPC6,BLSTM,21.94,148374,190.42311096191406,50.49968361854553,27.299246191978455,141.417236328125,-0.3797286565191187,224.3155085019952,0.44307194807776457
28,4,Global_active_power (t+25),HPC6,BLSTM,21.94,148374,198.6043701171875,50.81093907356262,28.407195210456848,147.36453247070312,-0.4387733992312053,233.3614701927387,0.4936807562149398
29,4,Global_active_power (t+30),HPC6,BLSTM,21.94,148374,192.4359130859375,62.05900311470032,29.74584698677063,145.43882751464844,-0.24309502798160176,214.2550372056675,0.3893482103047984
30,5,Global_active_power (t+5),HPC6,BLSTM,24.59,148374,236.42723083496094,64.28360342979431,28.200706839561462,182.42092895507812,-0.18481908967873784,90.73630858963247,0.307007873653936
31,5,Global_active_power (t+10),HPC6,BLSTM,24.59,148374,249.6989288330078,62.9200279712677,28.84785234928131,192.75338745117188,-0.24172825134035714,98.16715857418805,0.3535403908514701
32,5,Global_active_power (t+15),HPC6,BLSTM,24.59,148374,254.9986114501953,63.46621513366699,29.32961881160736,198.41416931152344,-0.25521894696144565,95.91297485608682,0.3674987061965517
33,5,Global_active_power (t+20),HPC6,BLSTM,24.59,148374,252.43173217773438,63.2348358631134,29.316446185112,199.8683624267578,-0.2893263217111093,97.8006195537794,0.37312123024538274
34,5,Global_active_power (t+25),HPC6,BLSTM,24.59,148374,266.2255859375,65.20124673843384,30.565866827964783,215.47459411621094,-0.338310800264074,100.1225754619534,0.40530839400154445
35,5,Global_active_power (t+30),HPC6,BLSTM,24.59,148374,263.05572509765625,60.49279570579529,29.311823844909668,210.3893280029297,-0.3390401862997712,97.94570824716497,0.39591826984766476
36,6,Global_active_power (t+5),HPC6,BLSTM,22.71,148374,272.392822265625,87.7477765083313,30.146709084510803,228.8395233154297,-0.023567122303839838,644.0412728191067,0.10339211820340079
37,6,Global_active_power (t+10),HPC6,BLSTM,22.71,148374,271.0989685058594,81.31494522094727,29.009947180747986,226.54420471191406,-0.047000635632538534,623.876044666058,0.14102914070332476
38,6,Global_active_power (t+15),HPC6,BLSTM,22.71,148374,286.8814392089844,76.97330713272095,29.568985104560852,240.44859313964844,-0.11107305074875384,683.8241798210519,0.21806634276788658
39,6,Global_active_power (t+20),HPC6,BLSTM,22.71,148374,311.5184326171875,65.9525990486145,28.748831152915955,254.82785034179688,-0.2395252090497053,754.682537335502,0.314613388058062
40,6,Global_active_power (t+25),HPC6,BLSTM,22.71,148374,317.6481628417969,63.41949105262756,28.983864188194275,260.0732727050781,-0.31426057723785306,791.7765860337745,0.3570242259187382
41,6,Global_active_power (t+30),HPC6,BLSTM,22.71,148374,316.6487121582031,66.28915071487427,29.183539748191833,261.07696533203125,-0.2627021611634457,760.4210333455478,0.32902178446310404
42,7,Global_active_power (t+5),HPC6,BLSTM,30.85,148374,360.7100524902344,67.96292066574097,28.37703227996826,302.010009765625,-0.2653649079678575,20.40779691217553,0.30978672672481
43,7,Global_active_power (t+10),HPC6,BLSTM,30.85,148374,351.5517272949219,64.36112523078918,27.098530530929565,293.267578125,-0.2832145583105494,19.635750775141606,0.31050383295422535
44,7,Global_active_power (t+15),HPC6,BLSTM,30.85,148374,349.1398010253906,62.68613934516907,26.810336112976074,288.3213806152344,-0.2632685085301867,19.318017645320612,0.3021267010024267
45,7,Global_active_power (t+20),HPC6,BLSTM,30.85,148374,349.0228576660156,62.492722272872925,26.278027892112732,283.18927001953125,-0.24968153729852838,19.577025782531145,0.28267386409393236
46,7,Global_active_power (t+25),HPC6,BLSTM,30.85,148374,352.9614562988281,63.801109790802,26.828160881996155,288.3263244628906,-0.2524570794998173,19.91555831829515,0.29473314538625295
