time_step,rmse,mae,mape,r2,smape,nrmse,fb,rules,time_cost,mem_cost,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std,fb_std,rules_std,time_cost_std,mem_cost_std
Appliances(t+1),10.126,4.599,5.633,0.919,2.485,0.026,-0.01,1254.3,39.925,0.408,5.825,3.769,2.77,0.154,1.182,0.03,0.039,158.179,9.329,0.009
lights(t+1),1.358,0.515,inf,0.71,41.835,0.056,-0.213,707.333,39.925,0.408,0.925,0.453,,1.062,26.395,0.066,0.454,146.87,9.329,0.009
T1(t+1),0.018,0.006,0.025,0.998,0.013,0.01,-0.0,906.733,39.925,0.408,0.014,0.005,0.022,0.004,0.011,0.009,0.0,126.158,9.329,0.009
RH_1(t+1),0.106,0.054,0.089,0.964,0.044,0.017,-0.001,992.7,39.925,0.408,0.07,0.083,0.069,0.075,0.034,0.019,0.003,143.18,9.329,0.009
T2(t+1),0.021,0.006,0.029,0.999,0.015,0.006,0.0,965.667,39.925,0.408,0.015,0.005,0.024,0.001,0.012,0.005,0.0,121.46,9.329,0.009
RH_2(t+1),0.06,0.049,0.038,0.973,0.019,0.01,-0.001,977.633,39.925,0.408,0.037,0.109,0.031,0.07,0.016,0.009,0.003,139.66,9.329,0.009
T3(t+1),0.019,0.014,0.028,0.976,0.014,0.014,0.0,884.0,39.925,0.408,0.013,0.041,0.027,0.092,0.013,0.015,0.002,105.561,9.329,0.009
RH_3(t+1),0.048,0.025,0.041,0.972,0.021,0.014,0.0,939.367,39.925,0.408,0.028,0.037,0.029,0.108,0.014,0.011,0.001,122.872,9.329,0.009
T4(t+1),0.019,0.01,0.028,0.99,0.014,0.011,0.0,913.333,39.925,0.408,0.017,0.026,0.03,0.037,0.015,0.011,0.001,121.766,9.329,0.009
RH_4(t+1),0.041,0.019,0.033,0.987,0.016,0.01,-0.0,946.7,39.925,0.408,0.026,0.031,0.027,0.055,0.013,0.008,0.001,132.729,9.329,0.009
T5(t+1),0.024,0.011,0.04,0.984,0.02,0.018,-0.0,888.867,39.925,0.408,0.016,0.02,0.031,0.033,0.016,0.021,0.001,109.779,9.329,0.009
RH_5(t+1),0.262,0.193,0.173,0.946,0.086,0.022,-0.001,1002.233,39.925,0.408,0.163,0.371,0.102,0.146,0.05,0.042,0.008,124.807,9.329,0.009
T6(t+1),0.071,0.329,inf,0.839,0.291,0.008,0.347,1147.6,39.925,0.408,0.049,0.715,,0.339,0.349,0.008,2.073,142.113,9.329,0.009
RH_6(t+1),0.206,0.345,1.318,-4.819428282418039e+23,0.504,0.006,-0.006,1106.3,39.925,0.408,0.171,1.046,4.359,2.6397095845587385e+24,1.61,0.005,0.022,169.972,9.329,0.009
T7(t+1),0.019,0.006,0.031,0.991,0.015,0.019,-0.0,835.633,39.925,0.408,0.013,0.006,0.034,0.013,0.017,0.018,0.0,125.702,9.329,0.009
RH_7(t+1),0.054,0.03,0.046,0.983,0.023,0.009,0.0,948.733,39.925,0.408,0.042,0.064,0.041,0.077,0.02,0.008,0.002,143.407,9.329,0.009
T8(t+1),0.025,0.008,0.038,0.996,0.019,0.014,0.0,926.6,39.925,0.408,0.016,0.006,0.027,0.008,0.014,0.011,0.0,119.582,9.329,0.009
RH_8(t+1),0.066,0.025,0.045,0.994,0.022,0.008,0.0,1014.967,39.925,0.408,0.043,0.041,0.033,0.024,0.017,0.007,0.001,143.297,9.329,0.009
T9(t+1),0.016,0.006,0.031,0.978,0.015,0.028,0.0,793.667,39.925,0.408,0.013,0.006,0.029,0.048,0.015,0.027,0.0,97.601,9.329,0.009
RH_9(t+1),0.049,0.016,0.038,0.998,0.019,0.009,0.0,1005.8,39.925,0.408,0.033,0.014,0.033,0.003,0.017,0.008,0.0,142.233,9.329,0.009
T_out(t+1),0.052,0.324,inf,0.801,0.358,0.008,-0.12,1099.967,39.925,0.408,0.039,0.638,,0.387,0.6,0.009,0.655,139.931,9.329,0.009
Press_mm_hg(t+1),0.629,0.332,0.044,-0.168,0.022,0.201,0.0,682.4,39.925,0.408,0.285,0.178,0.024,3.057,0.012,0.223,0.0,93.466,9.329,0.009
RH_out(t+1),0.201,0.275,0.081,0.97,0.04,0.007,-0.003,1111.3,39.925,0.408,0.11,0.874,0.065,0.09,0.032,0.007,0.013,117.015,9.329,0.009
Windspeed(t+1),0.032,0.125,0.411,0.873,0.195,0.007,0.015,1323.1,39.925,0.408,0.022,0.272,0.491,0.278,0.222,0.006,0.074,181.487,9.329,0.009
Visibility(t+1),0.366,0.163,0.318,0.977,0.159,0.014,0.002,1371.933,39.925,0.408,0.24,0.252,0.203,0.093,0.103,0.017,0.007,205.158,9.329,0.009
Tdewpoint(t+1),0.041,0.266,inf,0.65,0.85,0.011,-0.115,1163.3,39.925,0.408,0.038,0.518,,0.681,1.48,0.02,0.517,196.613,9.329,0.009
