time_step,rmse,mae,mape,r2,smape,nrmse,fb,rules,time_cost,mem_cost,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std,fb_std,rules_std,time_cost_std,mem_cost_std
Appliances(t+1),9.165,4.488,5.222,0.931,2.288,0.023,-0.007,1289.1,42.87,0.274,7.091,4.334,3.525,0.127,1.278,0.022,0.042,165.796,11.319,0.004
lights(t+1),1.379,0.512,inf,0.733,40.773,0.057,-0.214,727.7,42.87,0.274,0.916,0.412,,0.814,26.44,0.063,0.451,155.379,11.319,0.004
T1(t+1),0.017,0.005,0.024,0.998,0.012,0.01,0.0,939.833,42.87,0.274,0.012,0.005,0.021,0.003,0.01,0.007,0.0,131.747,11.319,0.004
RH_1(t+1),0.1,0.049,0.076,0.967,0.038,0.015,-0.0,1025.8,42.87,0.274,0.088,0.076,0.065,0.075,0.033,0.017,0.002,144.231,11.319,0.004
T2(t+1),0.02,0.007,0.027,0.999,0.014,0.006,0.0,1003.967,42.87,0.274,0.014,0.008,0.02,0.002,0.01,0.004,0.0,127.319,11.319,0.004
RH_2(t+1),0.065,0.062,0.044,0.967,0.022,0.009,-0.001,1014.967,42.87,0.274,0.045,0.122,0.037,0.077,0.019,0.006,0.004,145.133,11.319,0.004
T3(t+1),0.022,0.015,0.03,0.973,0.015,0.014,0.0,905.867,42.87,0.274,0.015,0.045,0.027,0.102,0.013,0.013,0.002,117.209,11.319,0.004
RH_3(t+1),0.047,0.025,0.04,0.971,0.02,0.013,0.0,967.967,42.87,0.274,0.03,0.039,0.035,0.109,0.017,0.01,0.001,121.676,11.319,0.004
T4(t+1),0.018,0.012,0.024,0.988,0.012,0.01,0.0,943.1,42.87,0.274,0.014,0.038,0.024,0.052,0.012,0.01,0.002,127.72,11.319,0.004
RH_4(t+1),0.032,0.016,0.025,0.987,0.013,0.008,-0.0,980.133,42.87,0.274,0.022,0.031,0.023,0.055,0.011,0.007,0.001,138.333,11.319,0.004
T5(t+1),0.027,0.01,0.043,0.982,0.021,0.018,-0.0,917.633,42.87,0.274,0.042,0.015,0.064,0.048,0.032,0.025,0.001,119.071,11.319,0.004
RH_5(t+1),0.286,0.22,0.181,0.949,0.089,0.02,-0.001,1028.1,42.87,0.274,0.313,0.425,0.181,0.117,0.086,0.035,0.009,126.641,11.319,0.004
T6(t+1),0.067,0.361,inf,0.805,0.342,0.007,0.357,1185.867,42.87,0.274,0.05,0.747,,0.378,0.578,0.007,2.109,146.738,11.319,0.004
RH_6(t+1),0.24,0.374,2.157,-1.4313246712687327e+22,0.81,0.007,-0.007,1138.533,42.87,0.274,0.174,1.048,6.27,7.839688095675514e+22,2.287,0.006,0.022,174.545,11.319,0.004
T7(t+1),0.015,0.005,0.022,0.992,0.011,0.015,-0.0,868.1,42.87,0.274,0.01,0.004,0.019,0.022,0.009,0.015,0.0,135.422,11.319,0.004
RH_7(t+1),0.045,0.035,0.033,0.967,0.016,0.007,0.0,981.033,42.87,0.274,0.034,0.114,0.029,0.16,0.015,0.006,0.003,154.711,11.319,0.004
T8(t+1),0.023,0.007,0.032,0.997,0.016,0.012,0.0,956.967,42.87,0.274,0.013,0.006,0.026,0.003,0.013,0.009,0.0,122.63,11.319,0.004
RH_8(t+1),0.057,0.038,0.038,0.984,0.019,0.007,0.0,1054.233,42.87,0.274,0.041,0.112,0.032,0.077,0.016,0.005,0.002,148.608,11.319,0.004
T9(t+1),0.014,0.005,0.026,0.986,0.013,0.023,0.0,822.533,42.87,0.274,0.012,0.005,0.026,0.024,0.013,0.021,0.0,100.43,11.319,0.004
RH_9(t+1),0.042,0.013,0.03,0.998,0.015,0.008,0.0,1038.2,42.87,0.274,0.027,0.01,0.025,0.004,0.012,0.006,0.0,151.873,11.319,0.004
T_out(t+1),0.056,0.373,inf,0.758,0.384,0.01,-0.116,1137.733,42.87,0.274,0.052,0.659,,0.42,0.626,0.017,0.657,146.03,11.319,0.004
Press_mm_hg(t+1),0.654,0.331,0.044,-0.337,0.022,0.206,0.0,705.467,42.87,0.274,0.385,0.238,0.032,3.861,0.016,0.225,0.0,107.729,11.319,0.004
RH_out(t+1),0.199,0.261,0.069,0.971,0.034,0.007,-0.003,1153.8,42.87,0.274,0.126,0.87,0.058,0.09,0.028,0.005,0.013,123.175,11.319,0.004
Windspeed(t+1),0.038,0.142,0.415,0.856,0.202,0.008,0.017,1366.5,42.87,0.274,0.026,0.295,0.376,0.305,0.181,0.006,0.08,190.982,11.319,0.004
Visibility(t+1),0.314,0.155,0.273,0.978,0.135,0.012,0.001,1414.967,42.87,0.274,0.183,0.249,0.185,0.091,0.092,0.013,0.007,219.743,11.319,0.004
Tdewpoint(t+1),0.048,0.297,inf,0.548,0.857,0.015,-0.112,1204.7,42.87,0.274,0.068,0.525,,0.802,1.248,0.035,0.518,201.111,11.319,0.004
