window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,Appliances(t+1),3.265,1.609,0.782,0.914,0.999,-0.001,0.007,1296,35.66720914840698,0.25171661376953125
0,lights(t+1),0.707,inf,21.397,0.187,0.99,-0.027,0.024,865,35.66720914840698,0.25171661376953125
0,T1(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,923,35.66720914840698,0.25171661376953125
0,RH_1(t+1),0.078,0.03,0.015,0.151,0.772,-0.004,0.006,957,35.66720914840698,0.25171661376953125
0,T2(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,929,35.66720914840698,0.25171661376953125
0,RH_2(t+1),0.037,0.009,0.004,0.099,0.711,-0.003,0.006,885,35.66720914840698,0.25171661376953125
0,T3(t+1),0.016,0.018,0.009,0.004,0.999,0.0,0.008,860,35.66720914840698,0.25171661376953125
0,RH_3(t+1),0.006,0.002,0.001,0.064,0.889,-0.002,0.001,959,35.66720914840698,0.25171661376953125
0,T4(t+1),0.011,0.013,0.006,0.003,1.0,0.0,0.003,985,35.66720914840698,0.25171661376953125
0,RH_4(t+1),0.035,0.021,0.011,0.009,0.999,0.0,0.009,926,35.66720914840698,0.25171661376953125
0,T5(t+1),0.0,0.0,0.0,0.017,0.962,0.001,0.0,979,35.66720914840698,0.25171661376953125
0,RH_5(t+1),0.388,0.294,0.145,0.68,0.879,-0.012,0.01,1022,35.66720914840698,0.25171661376953125
0,T6(t+1),0.024,1.107,0.395,0.291,0.557,-0.112,0.004,1239,35.66720914840698,0.25171661376953125
0,RH_6(t+1),0.059,0.017,0.008,0.015,1.0,-0.0,0.002,1127,35.66720914840698,0.25171661376953125
0,T7(t+1),0.014,0.016,0.008,0.003,0.999,0.0,0.009,883,35.66720914840698,0.25171661376953125
0,RH_7(t+1),0.064,0.044,0.022,0.016,0.999,-0.0,0.009,1079,35.66720914840698,0.25171661376953125
0,T8(t+1),0.001,0.001,0.001,0.0,1.0,-0.0,0.001,866,35.66720914840698,0.25171661376953125
0,RH_8(t+1),0.023,0.011,0.005,0.005,1.0,-0.0,0.003,1011,35.66720914840698,0.25171661376953125
0,T9(t+1),0.0,0.0,0.0,0.0,1.0,0.0,0.0,795,35.66720914840698,0.25171661376953125
0,RH_9(t+1),0.008,0.002,0.001,0.001,1.0,-0.0,0.001,1009,35.66720914840698,0.25171661376953125
0,T_out(t+1),0.005,0.021,0.01,0.001,1.0,0.0,0.001,1153,35.66720914840698,0.25171661376953125
0,Press_mm_hg(t+1),0.323,0.014,0.007,0.103,0.993,-0.0,0.026,688,35.66720914840698,0.25171661376953125
0,RH_out(t+1),0.247,0.082,0.041,0.074,0.999,0.0,0.01,1129,35.66720914840698,0.25171661376953125
0,Windspeed(t+1),0.042,0.279,0.137,0.265,0.835,-0.04,0.005,1310,35.66720914840698,0.25171661376953125
0,Visibility(t+1),0.111,0.077,0.039,0.028,1.0,0.0,0.003,1472,35.66720914840698,0.25171661376953125
0,Tdewpoint(t+1),0.025,inf,2.051,0.005,0.999,0.002,0.007,1078,35.66720914840698,0.25171661376953125
657,Appliances(t+1),15.761,8.044,3.506,5.226,0.987,-0.021,0.019,1079,54.11282515525818,0.273101806640625
657,lights(t+1),0.846,inf,19.451,0.386,0.815,0.077,0.017,681,54.11282515525818,0.273101806640625
657,T1(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,810,54.11282515525818,0.273101806640625
657,RH_1(t+1),0.072,0.058,0.029,0.023,0.998,-0.0,0.007,856,54.11282515525818,0.273101806640625
657,T2(t+1),0.002,0.001,0.0,0.0,1.0,0.0,0.001,817,54.11282515525818,0.273101806640625
657,RH_2(t+1),0.08,0.056,0.028,0.022,0.996,0.0,0.019,856,54.11282515525818,0.273101806640625
657,T3(t+1),0.0,0.0,0.0,0.0,1.0,0.0,0.0,784,54.11282515525818,0.273101806640625
657,RH_3(t+1),0.02,0.01,0.005,0.004,1.0,0.0,0.003,813,54.11282515525818,0.273101806640625
657,T4(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,885,54.11282515525818,0.273101806640625
657,RH_4(t+1),0.019,0.009,0.004,0.003,1.0,-0.0,0.006,782,54.11282515525818,0.273101806640625
657,T5(t+1),0.005,0.008,0.004,0.001,1.0,-0.0,0.002,822,54.11282515525818,0.273101806640625
657,RH_5(t+1),0.135,0.076,0.038,0.041,1.0,-0.0,0.003,918,54.11282515525818,0.273101806640625
657,T6(t+1),0.013,0.108,0.055,0.002,1.0,0.001,0.002,1016,54.11282515525818,0.273101806640625
657,RH_6(t+1),0.003,0.0,0.0,0.0,1.0,-0.0,0.0,803,54.11282515525818,0.273101806640625
657,T7(t+1),0.0,0.0,0.0,0.0,1.0,0.0,0.0,747,54.11282515525818,0.273101806640625
657,RH_7(t+1),0.027,0.009,0.004,0.003,0.999,-0.0,0.006,841,54.11282515525818,0.273101806640625
657,T8(t+1),0.022,0.041,0.021,0.008,0.998,-0.0,0.012,793,54.11282515525818,0.273101806640625
657,RH_8(t+1),0.07,0.045,0.022,0.019,0.999,0.0,0.011,878,54.11282515525818,0.273101806640625
657,T9(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,692,54.11282515525818,0.273101806640625
657,RH_9(t+1),0.031,0.02,0.01,0.008,1.0,-0.0,0.004,857,54.11282515525818,0.273101806640625
657,T_out(t+1),0.019,inf,1.842,0.004,1.0,0.002,0.003,1002,54.11282515525818,0.273101806640625
657,Press_mm_hg(t+1),0.477,0.03,0.015,0.229,0.78,0.0,0.128,510,54.11282515525818,0.273101806640625
657,RH_out(t+1),0.216,0.084,0.042,0.076,0.998,-0.0,0.01,1122,54.11282515525818,0.273101806640625
657,Windspeed(t+1),0.028,0.521,0.246,0.068,0.824,-0.036,0.007,1109,54.11282515525818,0.273101806640625
657,Visibility(t+1),0.294,0.114,0.057,0.058,0.999,-0.0,0.007,1282,54.11282515525818,0.273101806640625
657,Tdewpoint(t+1),0.002,0.007,0.003,0.0,1.0,-0.0,0.0,913,54.11282515525818,0.273101806640625
1314,Appliances(t+1),7.672,2.976,1.761,2.42,0.998,0.014,0.009,1036,61.15847206115723,0.27504730224609375
1314,lights(t+1),1.318,2.899,1.318,0.256,0.988,-0.017,0.033,660,61.15847206115723,0.27504730224609375
1314,T1(t+1),0.03,0.022,0.011,0.004,1.0,-0.0,0.007,817,61.15847206115723,0.27504730224609375
1314,RH_1(t+1),0.074,0.043,0.021,0.018,0.997,-0.0,0.01,843,61.15847206115723,0.27504730224609375
1314,T2(t+1),0.04,0.038,0.019,0.007,0.999,-0.0,0.008,830,61.15847206115723,0.27504730224609375
1314,RH_2(t+1),0.04,0.017,0.009,0.007,0.998,-0.0,0.011,770,61.15847206115723,0.27504730224609375
1314,T3(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,813,61.15847206115723,0.27504730224609375
1314,RH_3(t+1),0.039,0.008,0.004,0.215,0.402,0.005,0.006,815,61.15847206115723,0.27504730224609375
1314,T4(t+1),0.033,0.029,0.015,0.005,0.999,0.0,0.008,852,61.15847206115723,0.27504730224609375
1314,RH_4(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,766,61.15847206115723,0.27504730224609375
1314,T5(t+1),0.027,0.021,0.01,0.004,1.0,-0.0,0.005,805,61.15847206115723,0.27504730224609375
1314,RH_5(t+1),0.141,0.054,0.027,1.995,0.487,0.034,0.004,800,61.15847206115723,0.27504730224609375
1314,T6(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,977,61.15847206115723,0.27504730224609375
1314,RH_6(t+1),0.019,0.007,0.003,0.007,-4.293974013806198e+23,0.0,0.0,800,61.15847206115723,0.27504730224609375
1314,T7(t+1),0.006,0.008,0.004,0.001,1.0,0.0,0.008,761,61.15847206115723,0.27504730224609375
1314,RH_7(t+1),0.021,0.009,0.004,0.004,1.0,0.0,0.004,786,61.15847206115723,0.27504730224609375
1314,T8(t+1),0.004,0.004,0.002,0.001,1.0,-0.0,0.002,820,61.15847206115723,0.27504730224609375
1314,RH_8(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,862,61.15847206115723,0.27504730224609375
1314,T9(t+1),0.002,0.002,0.001,0.0,1.0,-0.0,0.002,762,61.15847206115723,0.27504730224609375
1314,RH_9(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,865,61.15847206115723,0.27504730224609375
1314,T_out(t+1),0.149,1.13,0.574,0.12,0.889,0.016,0.062,1010,61.15847206115723,0.27504730224609375
1314,Press_mm_hg(t+1),0.347,0.014,0.007,0.104,0.92,0.0,0.082,603,61.15847206115723,0.27504730224609375
1314,RH_out(t+1),0.084,0.018,0.009,0.018,0.998,-0.0,0.008,942,61.15847206115723,0.27504730224609375
1314,Windspeed(t+1),0.022,0.123,0.062,0.004,1.0,0.0,0.004,1245,61.15847206115723,0.27504730224609375
1314,Visibility(t+1),0.634,0.153,0.073,0.075,0.997,-0.001,0.014,1366,61.15847206115723,0.27504730224609375
1314,Tdewpoint(t+1),0.244,2.33,1.194,0.271,0.686,0.041,0.09,891,61.15847206115723,0.27504730224609375
1971,Appliances(t+1),3.955,3.537,1.878,1.319,0.962,0.01,0.04,952,38.80800175666809,0.27504730224609375
1971,lights(t+1),0.261,inf,44.444,0.054,0.988,-0.085,0.026,490,38.80800175666809,0.27504730224609375
1971,T1(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,790,38.80800175666809,0.27504730224609375
1971,RH_1(t+1),0.032,0.028,0.014,0.012,0.999,-0.0,0.009,712,38.80800175666809,0.27504730224609375
1971,T2(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,832,38.80800175666809,0.27504730224609375
1971,RH_2(t+1),0.044,0.024,0.012,0.011,0.995,0.0,0.013,737,38.80800175666809,0.27504730224609375
1971,T3(t+1),0.001,0.001,0.0,0.0,1.0,0.0,0.001,757,38.80800175666809,0.27504730224609375
1971,RH_3(t+1),0.0,0.0,0.0,0.0,1.0,0.0,0.0,768,38.80800175666809,0.27504730224609375
1971,T4(t+1),0.0,0.0,0.0,0.0,1.0,0.0,0.0,857,38.80800175666809,0.27504730224609375
1971,RH_4(t+1),0.036,0.018,0.009,0.008,0.998,-0.0,0.012,756,38.80800175666809,0.27504730224609375
1971,T5(t+1),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,694,38.80800175666809,0.27504730224609375
1971,RH_5(t+1),0.008,0.002,0.001,0.001,1.0,0.0,0.005,727,38.80800175666809,0.27504730224609375
1971,T6(t+1),0.086,2.715,1.217,0.522,0.765,-0.093,0.01,1011,38.80800175666809,0.27504730224609375
1971,RH_6(t+1),0.165,0.05,0.025,0.046,0.999,-0.0,0.009,1094,38.80800175666809,0.27504730224609375
1971,T7(t+1),0.023,0.04,0.02,0.007,0.997,-0.0,0.015,771,38.80800175666809,0.27504730224609375
1971,RH_7(t+1),0.013,0.006,0.003,0.002,1.0,-0.0,0.004,759,38.80800175666809,0.27504730224609375
1971,T8(t+1),0.013,0.027,0.014,0.005,0.999,-0.0,0.007,732,38.80800175666809,0.27504730224609375
1971,RH_8(t+1),0.008,0.003,0.002,0.001,1.0,-0.0,0.001,734,38.80800175666809,0.27504730224609375
1971,T9(t+1),0.007,0.007,0.004,0.001,0.999,-0.0,0.007,687,38.80800175666809,0.27504730224609375
1971,RH_9(t+1),0.0,0.0,0.0,0.0,1.0,0.0,0.0,765,38.80800175666809,0.27504730224609375
1971,T_out(t+1),0.0,0.001,0.001,0.0,1.0,-0.0,0.0,933,38.80800175666809,0.27504730224609375
1971,Press_mm_hg(t+1),0.268,0.016,0.008,0.119,0.96,0.0,0.052,609,38.80800175666809,0.27504730224609375
1971,RH_out(t+1),0.142,0.055,0.028,0.045,0.997,0.0,0.013,1038,38.80800175666809,0.27504730224609375
1971,Windspeed(t+1),0.047,0.201,0.103,0.011,1.0,0.001,0.006,1048,38.80800175666809,0.27504730224609375
1971,Visibility(t+1),0.808,0.53,0.257,0.212,0.952,-0.003,0.062,1309,38.80800175666809,0.27504730224609375
1971,Tdewpoint(t+1),0.0,0.003,0.001,0.0,1.0,0.0,0.0,955,38.80800175666809,0.27504730224609375
2628,Appliances(t+1),20.286,5.614,2.361,5.224,0.946,-0.025,0.036,1247,37.40757870674133,0.27504730224609375
2628,lights(t+1),1.268,inf,16.002,0.432,0.99,-0.022,0.032,906,37.40757870674133,0.27504730224609375
2628,T1(t+1),0.006,0.005,0.003,0.001,1.0,-0.0,0.004,757,37.40757870674133,0.27504730224609375
2628,RH_1(t+1),0.146,0.077,0.038,0.034,0.996,-0.001,0.011,781,37.40757870674133,0.27504730224609375
2628,T2(t+1),0.02,0.012,0.006,0.003,0.999,-0.0,0.01,784,37.40757870674133,0.27504730224609375
2628,RH_2(t+1),0.011,0.004,0.002,0.002,1.0,-0.0,0.002,809,37.40757870674133,0.27504730224609375
2628,T3(t+1),0.024,0.021,0.01,0.005,0.992,-0.0,0.027,709,37.40757870674133,0.27504730224609375
2628,RH_3(t+1),0.064,0.033,0.017,0.015,0.992,-0.0,0.019,880,37.40757870674133,0.27504730224609375
2628,T4(t+1),0.034,0.033,0.016,0.007,0.997,0.0,0.014,873,37.40757870674133,0.27504730224609375
2628,RH_4(t+1),0.04,0.015,0.007,0.007,0.999,0.0,0.006,771,37.40757870674133,0.27504730224609375
2628,T5(t+1),0.01,0.009,0.004,0.002,1.0,0.0,0.003,785,37.40757870674133,0.27504730224609375
2628,RH_5(t+1),0.144,0.077,0.038,0.043,1.0,0.0,0.003,949,37.40757870674133,0.27504730224609375
2628,T6(t+1),0.003,0.006,0.003,0.0,1.0,0.0,0.0,848,37.40757870674133,0.27504730224609375
2628,RH_6(t+1),0.129,0.046,0.023,0.045,0.999,-0.0,0.004,806,37.40757870674133,0.27504730224609375
2628,T7(t+1),0.004,0.006,0.003,0.001,0.999,-0.0,0.006,580,37.40757870674133,0.27504730224609375
