time_step,rmse,mae,mape,r2,smape,nrmse,fb,rules,time_cost,mem_cost,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std,fb_std,rules_std,time_cost_std,mem_cost_std
PM2.5(t+1),0.136,0,0,0,0,0.001,0,45990.567,168.571,5.735,0.213,0.0,0.0,0.0,0.0,0.001,0.0,1800.747,336.368,1.981
PM10(t+1),0.415,0,0,0,0,0.001,0,46332.167,168.571,5.735,0.662,0.0,0.0,0.0,0.0,0.002,0.0,1565.708,336.368,1.981
SO2(t+1),0.393,0,0,0,0,0.005,0,45920.967,168.571,5.735,1.902,0.0,0.0,0.0,0.0,0.023,0.0,1896.319,336.368,1.981
NO2(t+1),0.149,0,0,0,0,0.001,0,47017.267,168.571,5.735,0.211,0.0,0.0,0.0,0.0,0.002,0.0,1441.471,336.368,1.981
CO(t+1),3.794,0,0,0,0,0.001,0,46358.2,168.571,5.735,3.846,0.0,0.0,0.0,0.0,0.001,0.0,1564.797,336.368,1.981
O3(t+1),0.917,0,0,0,0,0.007,0,46276.967,168.571,5.735,3.094,0.0,0.0,0.0,0.0,0.024,0.0,1877.342,336.368,1.981
TEMP(t+1),1.206,0,0,0,0,0.056,0,46558.133,168.571,5.735,3.65,0.0,0.0,0.0,0.0,0.167,0.0,2344.651,336.368,1.981
PRES(t+1),20.979,0,0,0,0,0.735,0,44613.0,168.571,5.735,114.47,0.0,0.0,0.0,0.0,4.002,0.0,2298.839,336.368,1.981
DEWP(t+1),0.043,0,0,0,0,0.002,0,46239.5,168.571,5.735,0.056,0.0,0.0,0.0,0.0,0.002,0.0,1713.103,336.368,1.981
RAIN(t+1),,0,0,0,0,0.0,0,108797.8,168.571,5.735,,0.0,0.0,0.0,0.0,0.001,0.0,221566.702,336.368,1.981
WSPM(t+1),0.005,0,0,0,0,0.001,0,47111.933,168.571,5.735,0.006,0.0,0.0,0.0,0.0,0.001,0.0,1522.824,336.368,1.981
