window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,PM2.5(t+1),3.488,6.536,2.37,0.81,0.987,-0.009,0.023,8618,13.980767488479614,0.28595733642578125
0,PM10(t+1),4.179,3.147,1.592,1.439,0.996,-0.004,0.014,8647,13.980767488479614,0.28595733642578125
0,SO2(t+1),1.025,4.999,1.78,0.285,0.997,-0.01,0.009,9128,13.980767488479614,0.28595733642578125
0,NO2(t+1),1.011,1.436,0.674,0.349,0.999,-0.003,0.008,9422,13.980767488479614,0.28595733642578125
0,CO(t+1),22.84,1.962,0.914,8.323,0.997,-0.002,0.008,9103,13.980767488479614,0.28595733642578125
0,O3(t+1),1.015,4.562,1.057,1995.244,-0.03,1.901,0.0,8795,13.980767488479614,0.28595733642578125
0,TEMP(t+1),0.236,1.057,0.535,0.13,0.965,0.007,0.01,9927,13.980767488479614,0.28595733642578125
0,PRES(t+1),0.983,0.054,0.027,0.542,0.978,-0.0,0.037,7451,13.980767488479614,0.28595733642578125
0,DEWP(t+1),0.347,inf,2.625,0.083,0.996,0.009,0.015,9270,13.980767488479614,0.28595733642578125
0,RAIN(t+1),0.02,inf,100.0,0.002,0.0,-2.0,0.0,3835,13.980767488479614,0.28595733642578125
0,WSPM(t+1),0.11,1.897,0.942,0.036,0.995,-0.001,0.014,10366,13.980767488479614,0.28595733642578125
1062,PM2.5(t+1),4.521,0.714,0.382,0.825,0.994,0.006,0.018,7851,18.62693977355957,0.37715911865234375
1062,PM10(t+1),4.178,2.029,0.862,1.197,0.996,0.001,0.01,8784,18.62693977355957,0.37715911865234375
1062,SO2(t+1),0.754,5.311,2.247,0.294,0.995,-0.013,0.011,8242,18.62693977355957,0.37715911865234375
1062,NO2(t+1),3.052,1.001,0.454,3.407,0.564,0.044,0.014,9511,18.62693977355957,0.37715911865234375
1062,CO(t+1),10.274,0.242,0.119,2.08,1.0,-0.001,0.003,8845,18.62693977355957,0.37715911865234375
1062,O3(t+1),247.746,1499.712,35.714,132.625,-15.057,-1.073,0.872,5814,18.62693977355957,0.37715911865234375
1062,TEMP(t+1),0.21,0.274,0.136,0.056,0.998,0.0,0.011,9165,18.62693977355957,0.37715911865234375
1062,PRES(t+1),0.696,0.037,0.019,0.375,0.953,-0.0,0.052,6579,18.62693977355957,0.37715911865234375
1062,DEWP(t+1),0.084,0.122,0.061,0.016,1.0,0.0,0.004,9021,18.62693977355957,0.37715911865234375
1062,RAIN(t+1),0.0,0.0,0.0,0.16,0.004,1.329,0.0,3115,18.62693977355957,0.37715911865234375
1062,WSPM(t+1),0.092,inf,1.856,0.024,0.991,-0.007,0.016,9718,18.62693977355957,0.37715911865234375
2124,PM2.5(t+1),3.577,2.626,1.286,1.283,0.991,-0.006,0.02,7605,19.1694278717041,0.377471923828125
2124,PM10(t+1),6.919,5.75,2.396,2.736,0.975,-0.014,0.033,8319,19.1694278717041,0.377471923828125
2124,SO2(t+1),0.699,5.837,2.543,0.301,0.995,-0.023,0.009,7541,19.1694278717041,0.377471923828125
2124,NO2(t+1),2.913,1.55,0.738,0.863,0.984,-0.007,0.027,9368,19.1694278717041,0.377471923828125
2124,CO(t+1),32.643,1.982,0.955,11.588,0.996,-0.003,0.013,8395,19.1694278717041,0.377471923828125
2124,O3(t+1),3.546,30.201,5.845,3.35,0.911,0.019,0.011,8619,19.1694278717041,0.377471923828125
2124,TEMP(t+1),0.24,0.267,0.134,0.068,0.997,-0.0,0.013,8799,19.1694278717041,0.377471923828125
2124,PRES(t+1),1.063,0.057,0.029,0.57,0.834,-0.0,0.087,6154,19.1694278717041,0.377471923828125
2124,DEWP(t+1),0.131,0.197,0.099,0.044,0.996,0.0,0.01,8721,19.1694278717041,0.377471923828125
2124,RAIN(t+1),0.184,inf,65.321,0.033,0.975,-0.178,0.013,3596,19.1694278717041,0.377471923828125
2124,WSPM(t+1),0.133,inf,3.875,0.046,0.971,-0.015,0.031,9689,19.1694278717041,0.377471923828125
3186,PM2.5(t+1),2.196,2.647,1.216,0.879,0.997,-0.007,0.014,9181,17.3251051902771,0.377471923828125
3186,PM10(t+1),3.623,1.895,0.964,1.425,0.995,0.0,0.017,10179,17.3251051902771,0.377471923828125
3186,SO2(t+1),0.517,2.52,1.17,0.159,0.994,-0.001,0.018,8968,17.3251051902771,0.377471923828125
3186,NO2(t+1),1.619,1.095,0.541,0.644,0.995,0.0,0.015,9950,17.3251051902771,0.377471923828125
3186,CO(t+1),40.683,2.533,1.089,13.193,0.997,-0.002,0.012,9409,17.3251051902771,0.377471923828125
3186,O3(t+1),2.478,70.883,11.591,1.041,0.995,-0.04,0.015,9224,17.3251051902771,0.377471923828125
3186,TEMP(t+1),0.185,0.22,0.109,0.529,0.701,-0.025,0.008,9769,17.3251051902771,0.377471923828125
3186,PRES(t+1),0.775,0.036,0.018,0.364,0.962,0.0,0.041,6794,17.3251051902771,0.377471923828125
3186,DEWP(t+1),0.073,0.228,0.109,0.473,0.778,-0.031,0.003,9065,17.3251051902771,0.377471923828125
3186,RAIN(t+1),0.029,inf,47.588,0.046,0.109,0.479,0.003,3785,17.3251051902771,0.377471923828125
3186,WSPM(t+1),0.053,inf,2.692,0.019,0.995,-0.004,0.014,10576,17.3251051902771,0.377471923828125
4248,PM2.5(t+1),1.436,3.725,1.519,0.386,0.999,-0.003,0.005,9256,15.445783615112305,0.377471923828125
4248,PM10(t+1),1.465,1.52,0.703,0.422,1.0,-0.002,0.004,9921,15.445783615112305,0.377471923828125
4248,SO2(t+1),388.834,2528.102,59.275,229.786,-548.12,-1.736,4.8,7365,15.445783615112305,0.377471923828125
4248,NO2(t+1),0.481,0.502,0.235,0.108,1.0,-0.001,0.003,10072,15.445783615112305,0.377471923828125
4248,CO(t+1),32.502,2.131,1.007,11.678,0.998,-0.004,0.007,9075,15.445783615112305,0.377471923828125
4248,O3(t+1),1.499,26.452,3.564,5451.466,-0.138,1.979,0.0,8830,15.445783615112305,0.377471923828125
4248,TEMP(t+1),0.124,0.945,0.398,1.021,0.586,-0.109,0.006,10036,15.445783615112305,0.377471923828125
4248,PRES(t+1),0.923,0.046,0.023,0.464,0.946,0.0,0.048,7667,15.445783615112305,0.377471923828125
4248,DEWP(t+1),0.181,0.734,0.386,2.798,0.239,0.583,0.006,9580,15.445783615112305,0.377471923828125
4248,RAIN(t+1),0.003,inf,100.0,0.0,0.0,-2.0,0.0,3701,15.445783615112305,0.377471923828125
