window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,PM2.5(t+1),0.183,0,0,0,0,0,0.001,15881,92.70550775527954,1.0059127807617188
0,PM10(t+1),0.11,0,0,0,0,0,0.0,16001,92.70550775527954,1.0059127807617188
0,SO2(t+1),0.018,0,0,0,0,0,0.0,16063,92.70550775527954,1.0059127807617188
0,NO2(t+1),0.045,0,0,0,0,0,0.0,16123,92.70550775527954,1.0059127807617188
0,CO(t+1),3.536,0,0,0,0,0,0.002,15961,92.70550775527954,1.0059127807617188
0,O3(t+1),0.194,0,0,0,0,0,0.0,15434,92.70550775527954,1.0059127807617188
0,TEMP(t+1),0.032,0,0,0,0,0,0.001,16211,92.70550775527954,1.0059127807617188
0,PRES(t+1),0.084,0,0,0,0,0,0.003,14733,92.70550775527954,1.0059127807617188
0,DEWP(t+1),0.159,0,0,0,0,0,0.007,15836,92.70550775527954,1.0059127807617188
0,RAIN(t+1),0.003,0,0,0,0,0,0.017,7706,92.70550775527954,1.0059127807617188
0,WSPM(t+1),0.005,0,0,0,0,0,0.001,16928,92.70550775527954,1.0059127807617188
0,PM2.5.1(t+1),0.088,0,0,0,0,0,0.0,15827,92.70550775527954,1.0059127807617188
0,PM10.1(t+1),0.11,0,0,0,0,0,0.0,15807,92.70550775527954,1.0059127807617188
0,SO2.1(t+1),0.04,0,0,0,0,0,0.001,15983,92.70550775527954,1.0059127807617188
0,NO2.1(t+1),0.507,0,0,0,0,0,0.006,16149,92.70550775527954,1.0059127807617188
0,CO.1(t+1),18.296,0,0,0,0,0,0.011,15974,92.70550775527954,1.0059127807617188
0,O3.1(t+1),0.115,0,0,0,0,0,0.0,15554,92.70550775527954,1.0059127807617188
0,TEMP.1(t+1),0.038,0,0,0,0,0,0.002,16241,92.70550775527954,1.0059127807617188
0,PRES.1(t+1),0.097,0,0,0,0,0,0.004,14795,92.70550775527954,1.0059127807617188
0,DEWP.1(t+1),0.023,0,0,0,0,0,0.001,15776,92.70550775527954,1.0059127807617188
0,RAIN.1(t+1),0.0,0,0,0,0,0,0.0,7615,92.70550775527954,1.0059127807617188
0,WSPM.1(t+1),0.012,0,0,0,0,0,0.001,16608,92.70550775527954,1.0059127807617188
0,PM2.5.2(t+1),0.081,0,0,0,0,0,0.0,15644,92.70550775527954,1.0059127807617188
0,PM10.2(t+1),0.13,0,0,0,0,0,0.0,15628,92.70550775527954,1.0059127807617188
0,SO2.2(t+1),0.157,0,0,0,0,0,0.002,15866,92.70550775527954,1.0059127807617188
0,NO2.2(t+1),0.071,0,0,0,0,0,0.001,16097,92.70550775527954,1.0059127807617188
0,CO.2(t+1),5.057,0,0,0,0,0,0.003,15679,92.70550775527954,1.0059127807617188
0,O3.2(t+1),0.125,0,0,0,0,0,0.0,15793,92.70550775527954,1.0059127807617188
0,TEMP.2(t+1),0.038,0,0,0,0,0,0.002,16241,92.70550775527954,1.0059127807617188
0,PRES.2(t+1),0.097,0,0,0,0,0,0.004,14795,92.70550775527954,1.0059127807617188
0,DEWP.2(t+1),0.023,0,0,0,0,0,0.001,15776,92.70550775527954,1.0059127807617188
0,RAIN.2(t+1),0.0,0,0,0,0,0,0.0,7615,92.70550775527954,1.0059127807617188
0,WSPM.2(t+1),0.009,0,0,0,0,0,0.001,16608,92.70550775527954,1.0059127807617188
0,PM2.5.3(t+1),0.114,0,0,0,0,0,0.0,15593,92.70550775527954,1.0059127807617188
0,PM10.3(t+1),0.154,0,0,0,0,0,0.0,15654,92.70550775527954,1.0059127807617188
0,SO2.3(t+1),0.025,0,0,0,0,0,0.0,15825,92.70550775527954,1.0059127807617188
0,NO2.3(t+1),0.061,0,0,0,0,0,0.001,15752,92.70550775527954,1.0059127807617188
0,CO.3(t+1),15.24,0,0,0,0,0,0.008,15806,92.70550775527954,1.0059127807617188
0,O3.3(t+1),0.26,0,0,0,0,0,0.0,15580,92.70550775527954,1.0059127807617188
0,TEMP.3(t+1),0.035,0,0,0,0,0,0.002,16205,92.70550775527954,1.0059127807617188
0,PRES.3(t+1),0.125,0,0,0,0,0,0.005,14703,92.70550775527954,1.0059127807617188
0,DEWP.3(t+1),0.12,0,0,0,0,0,0.005,15792,92.70550775527954,1.0059127807617188
0,RAIN.3(t+1),0.0,0,0,0,0,0,0.0,7674,92.70550775527954,1.0059127807617188
0,WSPM.3(t+1),0.009,0,0,0,0,0,0.001,16563,92.70550775527954,1.0059127807617188
0,PM2.5.4(t+1),0.17,0,0,0,0,0,0.001,15829,92.70550775527954,1.0059127807617188
0,PM10.4(t+1),0.054,0,0,0,0,0,0.0,15908,92.70550775527954,1.0059127807617188
0,SO2.4(t+1),0.042,0,0,0,0,0,0.0,16039,92.70550775527954,1.0059127807617188
0,NO2.4(t+1),1.887,0,0,0,0,0,0.0,16060,92.70550775527954,1.0059127807617188
0,CO.4(t+1),1.91,0,0,0,0,0,0.001,15747,92.70550775527954,1.0059127807617188
0,O3.4(t+1),0.21,0,0,0,0,0,0.0,15598,92.70550775527954,1.0059127807617188
0,TEMP.4(t+1),0.032,0,0,0,0,0,0.001,16211,92.70550775527954,1.0059127807617188
0,PRES.4(t+1),0.084,0,0,0,0,0,0.003,14733,92.70550775527954,1.0059127807617188
0,DEWP.4(t+1),0.159,0,0,0,0,0,0.007,15836,92.70550775527954,1.0059127807617188
0,RAIN.4(t+1),0.003,0,0,0,0,0,0.017,7706,92.70550775527954,1.0059127807617188
0,WSPM.4(t+1),0.004,0,0,0,0,0,0.001,16928,92.70550775527954,1.0059127807617188
0,PM2.5.5(t+1),0.133,0,0,0,0,0,0.001,15910,92.70550775527954,1.0059127807617188
0,PM10.5(t+1),0.191,0,0,0,0,0,0.001,15345,92.70550775527954,1.0059127807617188
0,SO2.5(t+1),0.082,0,0,0,0,0,0.001,15787,92.70550775527954,1.0059127807617188
0,NO2.5(t+1),0.057,0,0,0,0,0,0.001,16068,92.70550775527954,1.0059127807617188
0,CO.5(t+1),1.805,0,0,0,0,0,0.001,15991,92.70550775527954,1.0059127807617188
0,O3.5(t+1),0.043,0,0,0,0,0,0.0,15539,92.70550775527954,1.0059127807617188
0,TEMP.5(t+1),0.024,0,0,0,0,0,0.001,16178,92.70550775527954,1.0059127807617188
0,PRES.5(t+1),0.1,0,0,0,0,0,0.004,14730,92.70550775527954,1.0059127807617188
0,DEWP.5(t+1),0.129,0,0,0,0,0,0.005,15683,92.70550775527954,1.0059127807617188
0,RAIN.5(t+1),0.001,0,0,0,0,0,0.002,7610,92.70550775527954,1.0059127807617188
0,WSPM.5(t+1),0.009,0,0,0,0,0,0.001,16361,92.70550775527954,1.0059127807617188
774,PM2.5(t+1),0.231,0,0,0,0,0,0.001,15744,96.85107278823853,1.8160667419433594
774,PM10(t+1),1.779,0,0,0,0,0,0.007,16582,96.85107278823853,1.8160667419433594
774,SO2(t+1),0.123,0,0,0,0,0,0.004,15939,96.85107278823853,1.8160667419433594
774,NO2(t+1),0.29,0,0,0,0,0,0.002,16573,96.85107278823853,1.8160667419433594
774,CO(t+1),1.912,0,0,0,0,0,0.001,16694,96.85107278823853,1.8160667419433594
774,O3(t+1),0.361,0,0,0,0,0,0.002,16427,96.85107278823853,1.8160667419433594
774,TEMP(t+1),0.003,0,0,0,0,0,0.0,16694,96.85107278823853,1.8160667419433594
774,PRES(t+1),0.007,0,0,0,0,0,0.0,15227,96.85107278823853,1.8160667419433594
774,DEWP(t+1),0.04,0,0,0,0,0,0.002,16068,96.85107278823853,1.8160667419433594
774,RAIN(t+1),0.0,0,0,0,0,0,0.0,7839,96.85107278823853,1.8160667419433594
774,WSPM(t+1),0.006,0,0,0,0,0,0.002,17103,96.85107278823853,1.8160667419433594
774,PM2.5.1(t+1),0.02,0,0,0,0,0,0.0,16557,96.85107278823853,1.8160667419433594
774,PM10.1(t+1),2.468,0,0,0,0,0,0.011,16594,96.85107278823853,1.8160667419433594
774,SO2.1(t+1),0.715,0,0,0,0,0,0.023,16095,96.85107278823853,1.8160667419433594
774,NO2.1(t+1),0.0,0,0,0,0,0,0.0,16967,96.85107278823853,1.8160667419433594
774,CO.1(t+1),0.627,0,0,0,0,0,0.0,16257,96.85107278823853,1.8160667419433594
774,O3.1(t+1),0.006,0,0,0,0,0,0.0,16582,96.85107278823853,1.8160667419433594
774,TEMP.1(t+1),0.0,0,0,0,0,0,0.0,16735,96.85107278823853,1.8160667419433594
