time_step,rmse,mae,mape,r2,smape,nrmse,fb,rules,time_cost,mem_cost,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std,fb_std,rules_std,time_cost_std,mem_cost_std
use [kW](t+1),0.019,0,0,0,0,0.003,0,23322.2,413.879,6.053,0.024,0.0,0.0,0.0,0.0,0.003,0.0,3286.979,369.894,0.871
gen [kW](t+1),0.0,0,0,0,0,0.001,0,19612.433,413.879,6.053,0.0,0.0,0.0,0.0,0.0,0.001,0.0,2199.071,369.894,0.871
Dishwasher [kW](t+1),0.002,0,0,0,0,0.364,0,15156.167,413.879,6.053,0.003,0.0,0.0,0.0,0.0,1.988,0.0,2159.487,369.894,0.871
Furnace 1 [kW](t+1),0.006,0,0,0,0,0.008,0,19820.133,413.879,6.053,0.007,0.0,0.0,0.0,0.0,0.008,0.0,3930.684,369.894,0.871
Furnace 2 [kW](t+1),0.007,0,0,0,0,0.013,0,20042.867,413.879,6.053,0.01,0.0,0.0,0.0,0.0,0.016,0.0,3854.283,369.894,0.871
Home office [kW](t+1),0.001,0,0,0,0,0.003,0,18919.267,413.879,6.053,0.002,0.0,0.0,0.0,0.0,0.007,0.0,2327.79,369.894,0.871
Fridge [kW](t+1),0.002,0,0,0,0,0.003,0,22118.8,413.879,6.053,0.001,0.0,0.0,0.0,0.0,0.003,0.0,2030.139,369.894,0.871
Wine cellar [kW](t+1),0.001,0,0,0,0,0.004,0,19076.3,413.879,6.053,0.001,0.0,0.0,0.0,0.0,0.003,0.0,2718.833,369.894,0.871
Garage door [kW](t+1),0.0,0,0,0,0,0.007,0,16783.4,413.879,6.053,0.0,0.0,0.0,0.0,0.0,0.018,0.0,2053.137,369.894,0.871
Kitchen 12 [kW](t+1),0.001,0,0,0,0,0.323,0,55075.733,413.879,6.053,0.002,0.0,0.0,0.0,0.0,0.382,0.0,80972.735,369.894,0.871
Kitchen 14 [kW](t+1),0.003,0,0,0,0,0.146,0,16165.067,413.879,6.053,0.002,0.0,0.0,0.0,0.0,0.774,0.0,2058.493,369.894,0.871
Kitchen 38 [kW](t+1),0.0,0,0,0,0,0.3,0,171359.267,413.879,6.053,0.0,0.0,0.0,0.0,0.0,0.059,0.0,18331.655,369.894,0.871
Barn [kW](t+1),0.004,0,0,0,0,0.011,0,16939.067,413.879,6.053,0.005,0.0,0.0,0.0,0.0,0.022,0.0,2317.601,369.894,0.871
Well [kW](t+1),0.005,0,0,0,0,0.039,0,16594.533,413.879,6.053,0.005,0.0,0.0,0.0,0.0,0.195,0.0,2118.459,369.894,0.871
Microwave [kW](t+1),0.004,0,0,0,0,0.176,0,16367.533,413.879,6.053,0.006,0.0,0.0,0.0,0.0,0.935,0.0,2082.487,369.894,0.871
Living room [kW](t+1),0.001,0,0,0,0,0.06,0,17024.667,413.879,6.053,0.002,0.0,0.0,0.0,0.0,0.301,0.0,2187.181,369.894,0.871
Solar [kW](t+1),0.0,0,0,0,0,0.001,0,19612.433,413.879,6.053,0.001,0.0,0.0,0.0,0.0,0.001,0.0,2199.071,369.894,0.871
temperature(t+1),0.047,0,0,0,0,0.001,0,19461.3,413.879,6.053,0.063,0.0,0.0,0.0,0.0,0.002,0.0,2541.702,369.894,0.871
humidity(t+1),0.001,0,0,0,0,0.001,0,20199.2,413.879,6.053,0.001,0.0,0.0,0.0,0.0,0.002,0.0,2701.171,369.894,0.871
visibility(t+1),0.007,0,0,0,0,0.012,0,18409.967,413.879,6.053,0.008,0.0,0.0,0.0,0.0,0.047,0.0,2161.511,369.894,0.871
apparentTemperature(t+1),0.056,0,0,0,0,0.002,0,19611.6,413.879,6.053,0.127,0.0,0.0,0.0,0.0,0.005,0.0,2486.006,369.894,0.871
pressure(t+1),0.137,0,0,0,0,0.01,0,16783.167,413.879,6.053,0.067,0.0,0.0,0.0,0.0,0.006,0.0,2286.635,369.894,0.871
windSpeed(t+1),0.012,0,0,0,0,0.001,0,21504.4,413.879,6.053,0.014,0.0,0.0,0.0,0.0,0.001,0.0,2618.625,369.894,0.871
windBearing(t+1),0.266,0,0,0,0,0.001,0,19966.533,413.879,6.053,0.599,0.0,0.0,0.0,0.0,0.002,0.0,2570.12,369.894,0.871
precipIntensity(t+1),0.0,0,0,0,0,0.005,0,10396.667,413.879,6.053,0.0,0.0,0.0,0.0,0.0,0.007,0.0,1305.956,369.894,0.871
dewPoint(t+1),0.043,0,0,0,0,0.002,0,18818.6,413.879,6.053,0.078,0.0,0.0,0.0,0.0,0.003,0.0,2460.58,369.894,0.871
precipProbability(t+1),0.0,0,0,0,0,0.001,0,10572.367,413.879,6.053,0.001,0.0,0.0,0.0,0.0,0.003,0.0,1578.852,369.894,0.871
