window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,use [kW](t+1),0.011,0,0,0,0,0,0.003,28271,185.00651788711548,3.8482284545898438
0,gen [kW](t+1),0.001,0,0,0,0,0,0.001,20205,185.00651788711548,3.8482284545898438
0,Dishwasher [kW](t+1),0.001,0,0,0,0,0,0.001,18130,185.00651788711548,3.8482284545898438
0,Furnace 1 [kW](t+1),0.013,0,0,0,0,0,0.022,25887,185.00651788711548,3.8482284545898438
0,Furnace 2 [kW](t+1),0.001,0,0,0,0,0,0.002,26094,185.00651788711548,3.8482284545898438
0,Home office [kW](t+1),0.001,0,0,0,0,0,0.002,21705,185.00651788711548,3.8482284545898438
0,Fridge [kW](t+1),0.001,0,0,0,0,0,0.002,23550,185.00651788711548,3.8482284545898438
0,Wine cellar [kW](t+1),0.0,0,0,0,0,0,0.001,19220,185.00651788711548,3.8482284545898438
0,Garage door [kW](t+1),0.0,0,0,0,0,0,0.006,18462,185.00651788711548,3.8482284545898438
0,Kitchen 12 [kW](t+1),0.0,0,0,0,0,0,0.072,15926,185.00651788711548,3.8482284545898438
0,Kitchen 14 [kW](t+1),0.002,0,0,0,0,0,0.001,18010,185.00651788711548,3.8482284545898438
0,Kitchen 38 [kW](t+1),0.0,0,0,0,0,0,0.239,186715,185.00651788711548,3.8482284545898438
0,Barn [kW](t+1),0.004,0,0,0,0,0,0.008,19244,185.00651788711548,3.8482284545898438
0,Well [kW](t+1),0.002,0,0,0,0,0,0.002,18434,185.00651788711548,3.8482284545898438
0,Microwave [kW](t+1),0.002,0,0,0,0,0,0.001,18150,185.00651788711548,3.8482284545898438
0,Living room [kW](t+1),0.001,0,0,0,0,0,0.003,19909,185.00651788711548,3.8482284545898438
0,Solar [kW](t+1),0.001,0,0,0,0,0,0.001,20205,185.00651788711548,3.8482284545898438
0,temperature(t+1),0.128,0,0,0,0,0,0.003,21402,185.00651788711548,3.8482284545898438
