window,time_step,rmse,mae,r2,fb,nrmse,num_params
0,PM2.5(t),28.71860022244591,17.788673003514607,0.21060393041886505,-0.2231802880986473,0.1384752527682301,43915
0,PM10(t),58.87091388651889,43.927761245823504,0.22200873621505046,0.12861254372446623,0.26504957668870044,43915
0,SO2(t),10.471890187546355,8.439443045456906,0.4101188784810187,-0.11230020868037537,0.6457945573119014,43915
0,NO2(t),22.532914954642404,18.27244959537338,0.48572932425795634,-0.012478889847572394,0.2341540147691872,43915
0,CO(t),197.99462928044142,124.25448944283731,0.8419748166602709,-0.0529963281761842,0.07953677624650432,43915
0,O3(t),25.91081217403423,21.72208024903912,0.24056388478215074,-0.021545097772978316,0.9338723911613039,43915
0,TEMP(t),6.9485477391653685,5.468735598318232,-0.9109145576987303,0.566683888250757,3.030467547878474,43915
0,PRES(t),51.68937791984923,44.5112238662048,-62.10984586103855,0.045019664859439715,0.5714100044388853,43915
0,DEWP(t),5.449197841719633,4.39085094546372,0.012152362247063508,-0.6211035496847002,0.49996833151440484,43915
0,RAIN(t),0.13352317758866883,0.10639922438927416,-0.9931050021238106,-1.5264966049349302,0.5321326907805413,43915
0,WSPM(t),1.4694023758275148,1.2029639565719747,0.10908280299723849,1.0,0.017856563182873812,43915
1,PM2.5(t),25.759537841621313,17.706402732141363,0.7921458071441103,0.044591199365249176,0.16275567671286667,43915
1,PM10(t),60.95718595636888,49.45356680912042,0.25611810419615666,-0.13026010322939643,0.33248852061898254,43915
1,SO2(t),14.642718025233547,12.804047427908035,-1.4297892709471363,-0.7042936123627925,0.7240935554754551,43915
1,NO2(t),28.83413807046557,18.877508391374313,0.12897588928419346,0.03275614940140832,0.4482151254782454,43915
1,CO(t),247.29707607599337,177.0043297533719,0.9054943437266235,0.03474519592152868,0.10233510399384177,43915
1,O3(t),52.873412813165444,43.8635217466508,0.03390852503858477,-0.16897349335458736,4.328760255799115,43915
1,TEMP(t),5.5270298732988765,3.81318810540925,-0.909652159209503,0.17411718049062608,0.8142658142508323,43915
1,PRES(t),45.955930031277,42.65603779726808,-218.29961304212128,0.04349039814643125,0.7336820696227749,43915
1,DEWP(t),7.995719069124912,7.432097230139394,-1.547020907776178,0.621741120488877,0.6230788515466408,43915
1,RAIN(t),0.9685362413873092,0.18189857063709564,-0.03173838701457643,1.9023662693987582,21.507209145345687,43915
1,WSPM(t),1.4694023758275148,1.2029639565719747,0.10908280299723849,1.0,0.017856563182873812,43915
2,PM2.5(t),33.80446494064098,23.617001448037488,0.14886690100246935,-0.17151958163222245,0.16417367019075957,43915
2,PM10(t),43.778340387894985,33.65401901389068,0.04034840448848864,-0.128192271330304,0.24824547133346303,43915
2,SO2(t),8.187080669162645,6.627213983557469,-0.6553554524944132,-0.43512724896558297,0.3732237520893201,43915
2,NO2(t),21.674860151675812,18.622036831933748,0.11063214671992438,-0.09153536173677264,0.729639558733888,43915
2,CO(t),211.15094247254302,144.2290962267222,0.7970363740062811,0.0100014920203471,0.09962490210200357,43915
2,O3(t),65.42766909524785,56.38024644066363,0.031183975672515518,-0.08902772020199126,1.4728519041143704,43915
2,TEMP(t),4.324117265544823,3.3719050101514134,-0.08449765992940361,0.048327740558600646,1.865581640218368,43915
2,PRES(t),21.76752413712813,18.844775736107014,-65.45249738026149,0.01899989347333533,0.48538309955482933,43915
2,DEWP(t),2.937506382110703,2.5123041548818907,-1.230338327394004,0.1056361787281176,0.6548556523638366,43915
2,RAIN(t),1.0675257858580396,0.24855997606104463,-0.011707322713915502,0.1266760874375474,4.049615898207638,43915
2,WSPM(t),1.4694023758275148,1.2029639565719747,0.10908280299723849,1.0,0.017856563182873812,43915
3,PM2.5(t),28.080093875707732,21.754738304600025,0.6349007102839845,-0.13684437955188666,0.20783449562150288,43915
3,PM10(t),43.9413609663862,35.54688310923066,0.4273258683155653,-0.0700384314275513,0.30312256234576973,43915
3,SO2(t),7.210680701702056,4.947326916978971,0.2243004748919516,0.1209571903772623,0.4868184479201635,43915
3,NO2(t),22.787156021915393,17.78714581855438,0.254248566828732,-0.010609153333473783,0.4279147536962027,43915
3,CO(t),247.79327468117816,160.28212104653412,0.8909520054221188,-0.035817478702850035,0.09765023900150366,43915
3,O3(t),47.95045750753008,43.41423747224628,-0.5475613469123566,-0.7415822783348197,1.3320130464787348,43915
3,TEMP(t),5.844714941599803,4.6471045200179955,-0.997192313315906,-0.17684704746576616,2.4757791218036735,43915
3,PRES(t),19.34054269696167,16.108954817094144,-18.70992070078465,-0.011914929838886031,0.283637656417403,43915
