,window,time_step,name_dataset,name_model,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB
0,0,PM2.5 (t+5),AQB4,TCN,14.04,63558,196.2834930419922,349.630069732666,42.4789696931839,171.18028259277344,-1.5458543286177795,1.483846732647273,-0.6469957498225561
1,0,PM2.5 (t+10),AQB4,TCN,14.04,63558,215.1031494140625,383.53843688964844,45.01963257789612,190.86184692382812,-2.6120073356062465,1.6454141303221217,-0.7218804070059175
2,0,PM2.5 (t+15),AQB4,TCN,14.04,63558,201.50099182128906,282.23371505737305,40.81313908100128,176.51731872558594,-2.2356452779960065,1.548135078783843,-0.6554191060364224
3,0,PM2.5 (t+20),AQB4,TCN,14.04,63558,181.3837432861328,215.53945541381836,36.362478137016296,154.51402282714844,-0.9139928767682943,1.5010968576027284,-0.48882708178926704
4,0,PM2.5 (t+25),AQB4,TCN,14.04,63558,203.76380920410156,235.91511249542236,39.05814290046692,179.7001495361328,-0.7878894559279239,1.60824679816672,-0.4801078462234865
5,0,PM2.5 (t+30),AQB4,TCN,14.04,63558,219.51699829101562,227.65157222747803,38.292449712753296,190.13267517089844,-0.2985933989165761,1.6885389806910815,-0.339482683842193
6,1,PM2.5 (t+5),AQB4,TCN,12.57,63558,212.6170196533203,89.45507407188416,24.50737953186035,160.2232666015625,-0.12250477873136889,1.4350064453447433,0.17546443713976206
7,1,PM2.5 (t+10),AQB4,TCN,12.57,63558,218.3159637451172,90.59721827507019,25.909721851348877,171.94508361816406,-0.17547495691024118,1.5366427886058067,0.21299440795089872
8,1,PM2.5 (t+15),AQB4,TCN,12.57,63558,208.71957397460938,90.0495171546936,26.325684785842896,172.00238037109375,-0.16291719701059804,1.4517038354139786,0.20699424056465665
9,1,PM2.5 (t+20),AQB4,TCN,12.57,63558,228.73306274414062,82.64740705490112,25.811538100242615,181.73867797851562,-0.2366070442235444,1.602401702472639,0.3017621983245244
10,1,PM2.5 (t+25),AQB4,TCN,12.57,63558,244.90911865234375,113.68902921676636,29.606139659881592,195.78392028808594,-0.2542278263399118,1.7560210188213832,0.28851868375172707
11,1,PM2.5 (t+30),AQB4,TCN,12.57,63558,243.423095703125,117.49801635742188,31.786832213401794,199.96856689453125,-0.15269616285922916,1.7560070103894394,0.28919692115388984
12,2,PM2.5 (t+5),AQB4,TCN,17.15,63558,177.82254028320312,96.19886875152588,26.562950015068054,142.1763458251953,0.03614952659879034,0.5263510234727942,0.030752057563939995
13,2,PM2.5 (t+10),AQB4,TCN,17.15,63558,182.5821990966797,97.65506386756897,27.27815806865692,145.22474670410156,-0.020910323682316045,0.536047261119378,0.05041658350020282
14,2,PM2.5 (t+15),AQB4,TCN,17.15,63558,189.7189483642578,100.8508563041687,28.446653485298157,153.4600372314453,-0.10173521706155197,0.5437767204966836,0.052339500834075535
15,2,PM2.5 (t+20),AQB4,TCN,17.15,63558,198.83346557617188,104.12527322769165,29.32809293270111,160.52757263183594,-0.23663335922083695,0.5676521376993421,0.08090014805766886
16,2,PM2.5 (t+25),AQB4,TCN,17.15,63558,196.8164520263672,114.45062160491943,29.085543751716614,159.48422241210938,-0.25694971941908284,0.5476974949686895,0.03638183245410715
17,2,PM2.5 (t+30),AQB4,TCN,17.15,63558,189.9053192138672,110.80492734909058,28.40692400932312,151.01980590820312,-0.220506613824883,0.5405536115825542,-1.736680688878887e-05
18,3,PM2.5 (t+5),AQB4,TCN,10.74,63558,140.8390350341797,161.23980283737183,31.95439577102661,120.1229248046875,0.017700458069600633,3.3997117435939748,-0.04469813342588567
19,3,PM2.5 (t+10),AQB4,TCN,10.74,63558,151.13795471191406,165.1145339012146,32.84803926944733,128.04957580566406,0.008729831676845157,3.9930632207586556,-0.001043626135640501
20,3,PM2.5 (t+15),AQB4,TCN,10.74,63558,170.5247802734375,139.7020936012268,31.557831168174744,135.34767150878906,-0.022747323954791954,4.577480809253338,0.09949759961762204
21,3,PM2.5 (t+20),AQB4,TCN,10.74,63558,170.2862548828125,94.59196329116821,28.629788756370544,134.4242706298828,-0.07299857995590187,4.6379069017451355,0.18203424559261702
22,3,PM2.5 (t+25),AQB4,TCN,10.74,63558,171.98155212402344,87.17032074928284,28.340059518814087,135.1478729248047,-0.13220795127552876,4.727590783218391,0.2373349337443827
23,3,PM2.5 (t+30),AQB4,TCN,10.74,63558,171.3967742919922,85.24871468544006,28.504106402397156,135.63766479492188,-0.11319374801051096,4.772000384048723,0.23569253389893774
24,4,PM2.5 (t+5),AQB4,TCN,13.32,63558,369.49444580078125,195.0920581817627,42.237186431884766,290.3380432128906,-0.09772083157466449,5.2889188454848295,0.21364124510533464
25,4,PM2.5 (t+10),AQB4,TCN,13.32,63558,365.9234924316406,186.6825819015503,40.96120595932007,284.7289733886719,-0.09090373297613663,5.119410549146521,0.22388359349565165
26,4,PM2.5 (t+15),AQB4,TCN,13.32,63558,354.6797180175781,167.9533839225769,39.34015333652496,274.2796936035156,-0.025899717012401346,4.154834841834396,0.27004569651105853
27,4,PM2.5 (t+20),AQB4,TCN,13.32,63558,356.81915283203125,185.98034381866455,39.889487624168396,284.0682067871094,-0.012930406770576885,3.901808802775658,0.2551588569601683
28,4,PM2.5 (t+25),AQB4,TCN,13.32,63558,350.44708251953125,201.61890983581543,40.67279398441315,286.029296875,-0.04442662095999528,3.9043377828731987,0.21838085029652188
29,4,PM2.5 (t+30),AQB4,TCN,13.32,63558,380.6435241699219,176.8189549446106,40.81844985485077,306.6343688964844,-0.12736474675770704,4.772072062421042,0.2939825432734953
30,5,PM2.5 (t+5),AQB4,TCN,10.85,63558,376.4753112792969,235.0651502609253,42.83125400543213,255.79295349121094,-0.0978583197716747,2.4587421738893864,0.19192624841593814
31,5,PM2.5 (t+10),AQB4,TCN,10.85,63558,364.9976501464844,230.7600975036621,44.01386380195618,251.72645568847656,-0.01847416171648586,2.245497338923807,0.1408818965985829
32,5,PM2.5 (t+15),AQB4,TCN,10.85,63558,357.268310546875,232.73882865905762,44.434502720832825,247.42750549316406,0.026809468169827433,2.217927140884796,0.14109935757035336
33,5,PM2.5 (t+20),AQB4,TCN,10.85,63558,360.358154296875,219.5089817047119,43.29541623592377,242.49732971191406,0.0062706045934334265,2.311906689017822,0.18356524085148873
34,5,PM2.5 (t+25),AQB4,TCN,10.85,63558,369.62481689453125,225.41236877441406,44.697803258895874,247.1566162109375,-0.03470259271142773,2.2893991725597957,0.15284148558891508
35,5,PM2.5 (t+30),AQB4,TCN,10.85,63558,347.0665588378906,228.78615856170654,43.43095421791077,223.91925048828125,-0.02991537877920014,2.269148894354581,0.047222864823928484
36,6,PM2.5 (t+5),AQB4,TCN,12.21,63558,283.66949462890625,269.4186210632324,40.96783101558685,233.4989013671875,0.06696991350253034,1.532187867401776,0.08997055073960898
37,6,PM2.5 (t+10),AQB4,TCN,12.21,63558,293.9055480957031,311.3255977630615,42.77608096599579,249.15542602539062,-0.009749421677879067,1.608855549176841,0.09602227259244667
38,6,PM2.5 (t+15),AQB4,TCN,12.21,63558,295.9068908691406,318.84660720825195,41.67696237564087,243.25494384765625,-0.035893445595544415,1.626128161266519,0.10237813433725743
39,6,PM2.5 (t+20),AQB4,TCN,12.21,63558,304.6020202636719,330.72354793548584,43.010759353637695,252.079833984375,-0.16951885577761994,1.6979891877620308,0.09126922762429376
40,6,PM2.5 (t+25),AQB4,TCN,12.21,63558,266.4725341796875,342.51041412353516,39.93727266788483,220.3822784423828,-0.14237764078207182,1.345296389305539,-0.09070698092195946
41,6,PM2.5 (t+30),AQB4,TCN,12.21,63558,217.65176391601562,329.45451736450195,36.02275848388672,181.5679168701172,0.005251638942876391,1.098439616387759,-0.1497965677702866
42,7,PM2.5 (t+5),AQB4,TCN,12.99,63558,253.6125030517578,284.14082527160645,37.92008459568024,211.76756286621094,0.057613713978377,1.0656493102315419,-0.23592987025915746
43,7,PM2.5 (t+10),AQB4,TCN,12.99,63558,301.60296630859375,291.50519371032715,41.713082790374756,256.8526916503906,-0.032861460384370655,1.3161298089520004,-0.11357422976007928
44,7,PM2.5 (t+15),AQB4,TCN,12.99,63558,326.0281982421875,292.1398401260376,44.778040051460266,283.9742126464844,-0.13826494062150796,1.4164706250478143,-0.09996542546565254
45,7,PM2.5 (t+20),AQB4,TCN,12.99,63558,397.35186767578125,220.31326293945312,44.972097873687744,334.4536437988281,-0.12456587327723856,1.719669723272987,0.08401496050719309
46,7,PM2.5 (t+25),AQB4,TCN,12.99,63558,424.73297119140625,189.54743146896362,41.987067461013794,336.4405517578125,-0.1731173503432737,1.9244757700844901,0.23288588675341332
47,7,PM2.5 (t+30),AQB4,TCN,12.99,63558,422.9454345703125,157.69695043563843,39.1425222158432,324.4828186035156,-0.22357612267722704,1.9770567664963825,0.30636749341660247
48,8,PM2.5 (t+5),AQB4,TCN,13.77,63558,161.30487060546875,86.03326082229614,24.188832938671112,140.78335571289062,0.01920835274801802,1.4678539899009395,-0.18109101407012984
49,8,PM2.5 (t+10),AQB4,TCN,13.77,63558,162.35772705078125,89.69521522521973,25.465041399002075,143.93064880371094,-0.038720734047100525,1.5170101759657644,-0.22410256035792736
50,8,PM2.5 (t+15),AQB4,TCN,13.77,63558,161.43408203125,91.62236452102661,25.77928602695465,142.90011596679688,-0.12622501583319568,1.5088713226789419,-0.2735403104474602
51,8,PM2.5 (t+20),AQB4,TCN,13.77,63558,172.3935546875,106.21920824050903,28.58361005783081,154.20004272460938,-0.30268080784071594,1.6925210179708894,-0.30871130805740093
52,8,PM2.5 (t+25),AQB4,TCN,13.77,63558,170.59414672851562,111.52162551879883,29.616335034370422,153.0989532470703,-0.5423802583426225,1.7100391318552635,-0.36004227910585096
53,8,PM2.5 (t+30),AQB4,TCN,13.77,63558,174.49136352539062,118.05349588394165,30.28034269809723,156.67637634277344,-1.1511813240377298,1.696745289961731,-0.4222936826578546
54,9,PM2.5 (t+5),AQB4,TCN,12.77,63558,212.67860412597656,98.87576699256897,30.69762885570526,163.10130310058594,-0.08368292629657192,2.4355075027848763,0.26846588067454424
55,9,PM2.5 (t+10),AQB4,TCN,12.77,63558,210.2034912109375,99.29657578468323,30.460166931152344,158.4093780517578,-0.10825811697556009,2.6429368437693292,0.2424215393513661
56,9,PM2.5 (t+15),AQB4,TCN,12.77,63558,194.8579864501953,101.70737504959106,29.697567224502563,147.70596313476562,-0.08980822335301242,2.2865246979939795,0.158724324946229
57,9,PM2.5 (t+20),AQB4,TCN,12.77,63558,189.59661865234375,99.61525797843933,29.106983542442322,145.87120056152344,-0.057414809948580725,2.3081110049197853,0.15013017716965765
58,9,PM2.5 (t+25),AQB4,TCN,12.77,63558,192.5461883544922,99.42739009857178,28.84936034679413,145.32073974609375,-0.07921675663056615,2.2791157064140384,0.1579048350772729
59,9,PM2.5 (t+30),AQB4,TCN,12.77,63558,239.31008911132812,97.28959798812866,29.802092909812927,166.84271240234375,-0.10116744821757617,2.8284084750760377,0.26550002187870286
60,10,PM2.5 (t+5),AQB4,TCN,19.79,63558,181.5301971435547,164.59808349609375,32.273703813552856,152.2500457763672,-0.4751009486995108,0.551144310865482,-0.4051036588347066
61,10,PM2.5 (t+10),AQB4,TCN,19.79,63558,196.99830627441406,180.75242042541504,33.84159207344055,159.98471069335938,-1.678502314459267,0.5960303457244241,-0.515026457343621
62,10,PM2.5 (t+15),AQB4,TCN,19.79,63558,219.2218017578125,206.256365776062,37.157246470451355,184.04714965820312,-2.613572087702658,0.6823934202601726,-0.5393681580460091
63,10,PM2.5 (t+20),AQB4,TCN,19.79,63558,201.4869842529297,153.7434220314026,32.72313475608826,165.1434326171875,-1.7768628639183617,0.6371930510970433,-0.4404704588509873
64,10,PM2.5 (t+25),AQB4,TCN,19.79,63558,201.67111206054688,146.5430736541748,31.868913769721985,163.74806213378906,-1.456930868317249,0.6591806315161997,-0.35989995575213113
65,10,PM2.5 (t+30),AQB4,TCN,19.79,63558,183.1916046142578,108.32943916320801,29.664501547813416,151.90721130371094,-0.8008042326386591,0.6284538238719428,-0.2492032014845779
66,11,PM2.5 (t+5),AQB4,TCN,13.83,63558,183.04013061523438,69.38074231147766,25.99387764930725,143.0360565185547,-0.14767849923442444,1.5627991385902948,0.23105684015040162
67,11,PM2.5 (t+10),AQB4,TCN,13.83,63558,169.2943878173828,61.50587797164917,24.224983155727386,127.74272918701172,-0.08870813566144231,1.365677455535597,0.2173889453365974
68,11,PM2.5 (t+15),AQB4,TCN,13.83,63558,163.0914764404297,81.38648867607117,27.01753079891205,131.0380401611328,-0.03960117773060179,1.2661466417631535,0.12176883577852247
69,11,PM2.5 (t+20),AQB4,TCN,13.83,63558,163.81031799316406,83.08228254318237,27.739983797073364,130.6492156982422,-0.046560171400200634,1.1895336070266593,0.08908384293046448
70,11,PM2.5 (t+25),AQB4,TCN,13.83,63558,208.0071563720703,89.03520703315735,30.11293113231659,152.62281799316406,-0.24291799757014787,1.5652908743782363,0.16336025234501247
71,11,PM2.5 (t+30),AQB4,TCN,13.83,63558,283.271484375,88.32269310951233,31.041622161865234,188.86891174316406,-0.17567367813726387,2.2864180622849304,0.30621330797742924
72,12,PM2.5 (t+5),AQB4,TCN,24.01,63558,431.1825866699219,293.07844638824463,45.68523466587067,321.9422912597656,-0.04902956328300956,2.4311187179570126,0.0710868160349507
73,12,PM2.5 (t+10),AQB4,TCN,24.01,63558,428.3331604003906,330.64565658569336,45.829370617866516,322.8261413574219,-0.024009289696386826,1.9818918032384105,0.019681992419812687
74,12,PM2.5 (t+15),AQB4,TCN,24.01,63558,423.7333068847656,362.3769760131836,46.16610109806061,331.1640930175781,-0.00156872854423451,1.8186993599333972,0.026533886890995204
75,12,PM2.5 (t+20),AQB4,TCN,24.01,63558,439.0082092285156,359.4715356826782,48.34718704223633,350.3463134765625,-0.055359796858356125,1.8392988289181225,0.07224833902474966
76,12,PM2.5 (t+25),AQB4,TCN,24.01,63558,444.1669921875,334.8686456680298,49.11043345928192,353.141845703125,-0.0812268970609833,1.9540841123553145,0.0833076332794411
77,12,PM2.5 (t+30),AQB4,TCN,24.01,63558,461.0484924316406,306.121301651001,47.13873565196991,357.6950988769531,-0.1315308806272817,2.060126231445225,0.19465287350026086
78,13,PM2.5 (t+5),AQB4,TCN,12.86,63558,238.49581909179688,113.63339424133301,25.48263669013977,154.58473205566406,-0.04741904774707639,1.8912035908284128,0.1643673321142683
79,13,PM2.5 (t+10),AQB4,TCN,12.86,63558,257.737548828125,119.55983638763428,28.370827436447144,177.1204071044922,-0.0560765770824887,2.1850989473003346,0.23702301803378026
80,13,PM2.5 (t+15),AQB4,TCN,12.86,63558,262.9239196777344,134.7913146018982,31.19916021823883,189.11180114746094,-0.0555042652069222,2.2700577086133964,0.23875622222141513
81,13,PM2.5 (t+20),AQB4,TCN,12.86,63558,268.7278747558594,146.5296506881714,33.333149552345276,197.61314392089844,-0.06819802542438302,2.271400016663395,0.23104508247756875
82,13,PM2.5 (t+25),AQB4,TCN,12.86,63558,285.94805908203125,154.43823337554932,35.02654731273651,213.8404083251953,-0.16771377735992798,2.4801661006190923,0.2646247449431029
83,13,PM2.5 (t+30),AQB4,TCN,12.86,63558,294.26751708984375,142.20683574676514,37.06500232219696,228.14675903320312,-0.18232916421422463,2.7167932312317347,0.351905840261335
84,14,PM2.5 (t+5),AQB4,TCN,15.2,63558,362.94677734375,142.6599383354187,41.65484011173248,289.8302917480469,-0.059230701696914245,2.4839337458380206,0.40614228590297025
85,14,PM2.5 (t+10),AQB4,TCN,15.2,63558,386.55633544921875,175.86064338684082,47.37657010555267,321.9517822265625,-0.1599493241937846,2.805190232144417,0.39788536080460735
86,14,PM2.5 (t+15),AQB4,TCN,15.2,63558,396.9327087402344,187.56366968154907,48.70789051055908,328.7694396972656,-0.23089692780134552,2.921101218662882,0.3776253130501457
87,14,PM2.5 (t+20),AQB4,TCN,15.2,63558,333.6882019042969,187.5097393989563,45.301222801208496,277.817138671875,-0.07282681816849634,2.3099029081091587,0.18805992604986846
88,14,PM2.5 (t+25),AQB4,TCN,15.2,63558,275.79620361328125,178.78879308700562,41.87856614589691,232.85693359375,0.024242439390455117,1.8606133032773393,0.03731229914458219
89,14,PM2.5 (t+30),AQB4,TCN,15.2,63558,254.52577209472656,195.2878713607788,41.876715421676636,217.75352478027344,0.09818479562200966,1.7210709793418049,-0.032538877442360156
90,15,PM2.5 (t+5),AQB4,TCN,12.17,63558,251.61082458496094,136.830735206604,37.30369210243225,197.65957641601562,-0.06294908265616472,2.8297494619216237,0.1427807642740357
91,15,PM2.5 (t+10),AQB4,TCN,12.17,63558,248.5242156982422,128.32207679748535,35.91969013214111,193.47097778320312,-0.06284984154838691,2.6936391396645902,0.15444401954121098
92,15,PM2.5 (t+15),AQB4,TCN,12.17,63558,253.22744750976562,116.30619764328003,35.274913907051086,197.48690795898438,-0.08625297064745596,2.6713694404801265,0.2356740366596157
93,15,PM2.5 (t+20),AQB4,TCN,12.17,63558,268.5106201171875,124.8173475265503,37.13223338127136,215.95323181152344,-0.1651597385919059,2.784209108167979,0.28508532255332997
94,15,PM2.5 (t+25),AQB4,TCN,12.17,63558,263.6140441894531,123.99498224258423,36.032748222351074,208.98681640625,-0.12523565436748196,2.718054515870911,0.2551093056457062
95,15,PM2.5 (t+30),AQB4,TCN,12.17,63558,274.93670654296875,111.19236946105957,35.24857461452484,215.597900390625,-0.252793839393751,3.0999052561910787,0.3670844908724588
96,16,PM2.5 (t+5),AQB4,TCN,10.04,63558,161.34091186523438,43.910279870033264,22.40959107875824,126.70769500732422,-0.3036034899236404,1.962101238537626,0.35731913823613193
97,16,PM2.5 (t+10),AQB4,TCN,10.04,63558,169.7135009765625,44.522324204444885,23.73540550470352,133.1811981201172,-0.4569175077953458,2.1273123190755028,0.3939768086760453
98,16,PM2.5 (t+15),AQB4,TCN,10.04,63558,176.590087890625,47.10775017738342,25.383949279785156,139.88665771484375,-0.5707644214502707,2.2599876426234196,0.41109037967234624
99,16,PM2.5 (t+20),AQB4,TCN,10.04,63558,181.732177734375,52.26120948791504,26.552069187164307,141.04989624023438,-0.5131432106089713,2.3069636987349473,0.4155195453565209
100,16,PM2.5 (t+25),AQB4,TCN,10.04,63558,169.78726196289062,58.58774185180664,26.15225911140442,129.21688842773438,-0.2613763952928463,2.193217238762578,0.3310957476793042
101,16,PM2.5 (t+30),AQB4,TCN,10.04,63558,146.05303955078125,78.46929430961609,27.497896552085876,120.45655822753906,-0.056628769045007354,1.8519949167391594,0.1791216335942365
102,17,PM2.5 (t+5),AQB4,TCN,13.7,63558,181.12713623046875,43.677836656570435,22.961099445819855,133.8610076904297,-0.20221468747287896,1.437467515639721,0.31939211260815986
103,17,PM2.5 (t+10),AQB4,TCN,13.7,63558,164.78919982910156,47.38212525844574,22.590656578540802,124.79444885253906,-0.14365517319656806,1.248399132609907,0.20763921597000187
104,17,PM2.5 (t+15),AQB4,TCN,13.7,63558,170.19265747070312,51.65119767189026,23.615050315856934,128.01553344726562,-0.20704991258236038,1.3139656619991982,0.17404761661549478
105,17,PM2.5 (t+20),AQB4,TCN,13.7,63558,170.71481323242188,47.325918078422546,22.274738550186157,123.1239242553711,-0.236109889535979,1.381153298606053,0.2137717905316554
106,17,PM2.5 (t+25),AQB4,TCN,13.7,63558,167.3447265625,46.650102734565735,22.20320701599121,121.9533462524414,-0.22003520488943606,1.3726384571925347,0.19905287173905853
107,17,PM2.5 (t+30),AQB4,TCN,13.7,63558,165.71730041503906,50.744253396987915,22.574658691883087,124.89308166503906,-0.1720328326358871,1.2520209330167673,0.1406102940375871
108,18,PM2.5 (t+5),AQB4,TCN,9.28,63558,102.83919525146484,168.42875480651855,39.055606722831726,95.53962707519531,-1.421614682280084,1.0695694628974501,-0.582175624678305
109,18,PM2.5 (t+10),AQB4,TCN,9.28,63558,111.89335632324219,183.2720160484314,39.29538428783417,100.85675048828125,-1.7457978774401295,1.119795759491332,-0.579380422994529
110,18,PM2.5 (t+15),AQB4,TCN,9.28,63558,102.00541687011719,169.46614980697632,37.359750270843506,91.18074798583984,-1.2645929984710849,1.1269523084475397,-0.5009152318801376
111,18,PM2.5 (t+20),AQB4,TCN,9.28,63558,107.25247955322266,192.8322434425354,38.34101855754852,93.8509750366211,-1.431857375552466,1.1246725258007186,-0.5613876824001224
112,18,PM2.5 (t+25),AQB4,TCN,9.28,63558,95.77596282958984,177.82866954803467,36.533600091934204,83.17474365234375,-0.899162536277677,1.0444996712627752,-0.5092327242897691
113,18,PM2.5 (t+30),AQB4,TCN,9.28,63558,91.92108154296875,170.80427408218384,37.94732689857483,83.36044311523438,-0.7062870381676527,1.089661757785795,-0.4827574627028019
114,19,PM2.5 (t+5),AQB4,TCN,12.93,63558,358.25408935546875,97.34550714492798,32.764264941215515,222.05364990234375,-0.09321982593315115,5.795726447411003,0.3651237741446616
115,19,PM2.5 (t+10),AQB4,TCN,12.93,63558,364.91265869140625,135.78672409057617,34.926003217697144,228.69607543945312,-0.11081874945687309,4.838393449461928,0.3458854329252457
116,19,PM2.5 (t+15),AQB4,TCN,12.93,63558,371.54150390625,197.04794883728027,38.76039683818817,236.95425415039062,-0.10881202533767098,3.892533759248214,0.25466530979990537
117,19,PM2.5 (t+20),AQB4,TCN,12.93,63558,369.6772155761719,245.78313827514648,42.641642689704895,244.7334747314453,-0.07319984487545761,2.626209777732491,0.17514750952052918
118,19,PM2.5 (t+25),AQB4,TCN,12.93,63558,344.61126708984375,257.18605518341064,41.50378406047821,226.53396606445312,0.02575126849461351,2.279844847615598,0.030808731978076962
119,19,PM2.5 (t+30),AQB4,TCN,12.93,63558,271.8328857421875,261.0170364379883,40.58891832828522,186.1673126220703,-0.03715121835058377,1.6728174442575412,-0.2617078823855113
120,20,PM2.5 (t+5),AQB4,TCN,13.04,63558,581.0995483398438,353.66508960723877,45.7925945520401,435.6968078613281,0.040783757394957654,1.976638435652981,0.29617269972446586
121,20,PM2.5 (t+10),AQB4,TCN,13.04,63558,478.2594909667969,544.4900035858154,49.102914333343506,400.6046142578125,-0.002508417551678077,1.6385459192261922,0.03521329263076371
122,20,PM2.5 (t+15),AQB4,TCN,13.04,63558,431.9242858886719,668.8776016235352,51.98032259941101,400.0597229003906,-0.15493984676952954,1.4435186770778439,-0.14986325885053645
123,20,PM2.5 (t+20),AQB4,TCN,13.04,63558,425.88226318359375,526.0170936584473,51.571571826934814,395.4844665527344,-0.14623571162107019,1.595975281059242,-0.1065834710588063
