,window,time_step,name_dataset,name_model,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB
0,0,PM2.5 (t+5),AQB8,LSTM,22.13,117186,495.2095642089844,380.34369945526123,47.33825623989105,448.3086853027344,-4.462475900335039,100.17178008790557,-0.8363356017333273
1,0,PM2.5 (t+10),AQB8,LSTM,22.13,117186,448.07763671875,258.59813690185547,40.815433859825134,397.9142761230469,-3.077588756047434,92.7506159113593,-0.6975892686005061
2,0,PM2.5 (t+15),AQB8,LSTM,22.13,117186,476.4364013671875,250.9871244430542,40.62632620334625,428.5933837890625,-0.7039702669427832,95.21637940498408,-0.5038707240485342
3,0,PM2.5 (t+20),AQB8,LSTM,22.13,117186,462.8307800292969,169.11253929138184,33.76767933368683,397.7193298339844,-0.09067495260980563,97.99588400253292,-0.20227404828621387
4,0,PM2.5 (t+25),AQB8,LSTM,22.13,117186,453.9729919433594,170.94405889511108,33.01340937614441,377.9248046875,-0.041469798605470176,103.12218032082299,-0.13960342979635584
5,0,PM2.5 (t+30),AQB8,LSTM,22.13,117186,453.0457458496094,171.56494855880737,32.789146900177,376.97857666015625,-0.04385267091412404,103.21636259977195,-0.14521914580360581
6,1,PM2.5 (t+5),AQB8,LSTM,20.37,117186,400.5482482910156,71.1636483669281,22.75640070438385,305.4986572265625,-0.1075797841721835,21.438431232910723,0.17997178113206175
7,1,PM2.5 (t+10),AQB8,LSTM,20.37,117186,415.2151794433594,69.18836236000061,23.197440803050995,323.8945007324219,-0.2064519776962248,21.941677632852112,0.24582217307411283
8,1,PM2.5 (t+15),AQB8,LSTM,20.37,117186,457.7779235839844,107.96774625778198,28.51710021495819,372.4539794921875,-0.14609161332247345,24.173714965319856,0.23583278303387187
9,1,PM2.5 (t+20),AQB8,LSTM,20.37,117186,471.3755798339844,114.42394256591797,31.335410475730896,395.26068115234375,-0.12486244285616777,25.152721913726,0.2412401655347099
10,1,PM2.5 (t+25),AQB8,LSTM,20.37,117186,463.11358642578125,86.1508309841156,28.33068072795868,384.7950134277344,-0.2316676147019685,25.469529490351146,0.29574219051343237
11,1,PM2.5 (t+30),AQB8,LSTM,20.37,117186,465.42120361328125,86.9453489780426,28.357595205307007,388.85888671875,-0.27308204651511203,25.131370623286227,0.3110473342568478
12,2,PM2.5 (t+5),AQB8,LSTM,26.95,117186,328.6996154785156,86.48573160171509,25.280696153640747,273.682861328125,0.06917001645767873,1.8165100124666747,0.0075643687537685425
13,2,PM2.5 (t+10),AQB8,LSTM,26.95,117186,346.8359680175781,87.84244656562805,26.47421658039093,288.2674560546875,-0.033903505984386184,1.8542620980136357,0.03817842369329759
14,2,PM2.5 (t+15),AQB8,LSTM,26.95,117186,339.0467224121094,90.9212589263916,26.034367084503174,278.24066162109375,-0.08831683415796321,1.8070621252055128,-0.00302230138922966
15,2,PM2.5 (t+20),AQB8,LSTM,26.95,117186,312.8028869628906,87.76512145996094,25.221282243728638,265.0921325683594,0.06632417183341988,1.768416946423648,-0.015464076203564556
16,2,PM2.5 (t+25),AQB8,LSTM,26.95,117186,327.9866943359375,62.9136860370636,23.05324226617813,261.9048156738281,-0.004738169059545605,1.9706659156202257,0.08980075012856427
17,2,PM2.5 (t+30),AQB8,LSTM,26.95,117186,272.71319580078125,62.37494945526123,21.252483129501343,217.81497192382812,0.016898508716861937,1.770959662719119,-0.03408872129794797
18,3,PM2.5 (t+5),AQB8,LSTM,27.49,117186,264.3089904785156,147.88955450057983,30.53148090839386,232.48902893066406,-0.03677366629176482,4.068922732592201,-0.0829003122397311
19,3,PM2.5 (t+10),AQB8,LSTM,27.49,117186,314.51055908203125,122.19126224517822,28.64850163459778,251.69142150878906,0.020561026842714214,4.800864780460173,0.039746814242669994
