time_step,rmse,mae,r2,fb,nrmse,num_params,rmse_std,mae_std,r2_std,fb_std,nrmse_std,num_params_std
Barn [kW](t),27.134783291664032,27.05322170697331,-3203889.9969428927,-2.021825418636058,7.752781710671191,156177.0,25.083246263847908,25.035484412252092,6824690.888880206,0.02213079742722233,9.154137605588366,0.0
Dishwasher [kW](t),20.542157780172086,20.497361858238545,-88951401921.37013,-2.0135245024326953,8.536269266013612,156177.0,20.339568680802543,20.33899625241589,487206758963.7742,0.009765106098049722,16.20056052622668,0.0
Fridge [kW](t),18.62959087830996,18.57639583368566,-146736.95341572998,-2.030240531322116,6.261217041123548,156177.0,21.140054937430214,21.102638174352993,320114.072733236,0.022893818190048557,8.76389514458678,0.0
Furnace 1 [kW](t),13.20864205445646,13.165669852285024,-496354.42330276105,-2.0656416128137765,7.07478041022502,156177.0,17.226044507756097,17.20073961679381,2263351.35165109,0.07526372112231135,10.980186975615903,0.0
Furnace 2 [kW](t),19.237378841053978,19.203243551674408,-9132680.897527669,-2.0564568558037943,6.801457943023075,156177.0,20.48273220217295,20.4666348246143,46759825.25994828,0.0388393185565981,8.22682134576339,0.0
Garage door [kW](t),25.331379774621286,25.275844616165905,-54644035.39357471,-2.005041476160781,9.742511682352175,156177.0,23.824806315641453,23.79663716611872,145024808.8942489,0.00362327083085361,17.707847309161366,0.0
Home office [kW](t),21.644819779555252,21.557321296702348,-2435428.63232588,-2.0362689597162142,9.576096688087498,156177.0,26.048176904156342,25.92161607758567,12683746.371233206,0.025686414890427924,13.165679786555918,0.0
Kitchen 12 [kW](t),19.11150657206268,19.042425758407816,-15045854575.446394,-2.0008238522008344,9.472137132927934,156177.0,19.026913151289545,18.974472534627772,29111682721.34772,0.0015706701122925317,12.90029590360638,0.0
Kitchen 14 [kW](t),15.692425874374482,15.6504926597443,-4366196858.2364025,-2.002732119671798,11.607929236432941,156177.0,13.865470321711491,13.865758484994128,23913974449.12831,0.001727055155039101,17.868148596266376,0.0
Kitchen 38 [kW](t),19.967863310830534,19.89773089853741,-9134923632274.748,-2.000003904145138,8.649037253872832,156177.0,22.829126271194628,22.7693552604655,20668120499607.832,2.488894917697719e-06,15.821927223332462,0.0
Living room [kW](t),13.819745325458559,13.760924747239358,-580517212.0616099,-2.016956192552211,7.50400224543246,156177.0,15.212630366639397,15.197420374169754,3179318679.795499,0.010048042396876539,9.350073724465535,0.0
Microwave [kW](t),14.45997931167554,14.428953704717417,-458872721.6965675,-2.005771512967279,8.435834660180518,156177.0,16.28434998542107,16.276045997434654,1896452759.8818362,0.00397101927100508,10.463776979425694,0.0
Solar [kW](t),16.86301770810547,16.811318827294034,-91234.85827333204,-2.037416041173412,8.78489993539146,156177.0,20.103146210112747,20.063367760785802,277383.592048245,0.02716485481131035,10.744000747801786,0.0
Well [kW](t),18.86481183038785,18.829913070718167,-779405359.3140512,-2.0075888971480493,10.516699862310183,156177.0,21.872604352005382,21.846485253054325,4268663395.623755,0.006412385733466237,16.907624665860762,0.0
Wine cellar [kW](t),14.091419017296282,14.023489348892477,-236028.56230067977,-2.0237807665263445,6.26053995963747,156177.0,16.435841279038687,16.418400482672215,532596.2508452799,0.020377780994569075,6.968556394250789,0.0
apparentTemperature(t),11.951903116340105,10.55276315280631,-2.1189880614794934,0.05228553055691873,2.7706407424625965,156177.0,6.39287174563463,6.390850322591641,5.264688065908476,0.27986178700519926,5.371171368242147,0.0
dewPoint(t),9.421422983336587,8.35724272351821,-6.16280369887332,0.009717782393574119,3.782709534812848,156177.0,6.045608764660611,6.011211614997695,23.712534105772466,0.3299184665812957,9.42695925001664,0.0
gen [kW](t),18.476849943996537,18.41211599171049,-45152.06513054702,-2.031416119391651,16.37060943258194,156177.0,19.89304349551217,19.828897181972895,74707.72456435229,0.024795885180330473,28.436564190763285,0.0
humidity(t),8.22838923333348,8.153672301258688,-5141.674733805221,-1.9539477808962122,5.8885375944465705,156177.0,11.513572986812386,11.34636278454621,12907.252807707686,1.0567744996548745,11.446647657094726,0.0
precipIntensity(t),15.444826633761414,15.383382343991448,-499506199.42864954,-2.001117148358262,10.040350950101805,156177.0,15.589612840952702,15.55791512210349,1692398932.4210367,0.0014924600428168249,14.981884590651402,0.0
precipProbability(t),36.8010000997079,36.7981816055571,-23632.886905623964,4.0,-2.012632857205863,156177.0,0.0,0.0,0.0,0.0,0.0,0.0
