time_step,rmse,mae,r2,fb,nrmse,num_params,rmse_std,mae_std,r2_std,fb_std,nrmse_std,num_params_std
Barn [kW](t),6.712860099960039,6.6959161748363885,-260514.65404240086,-2.0369877250380823,7.797789663134179,123702.0,1.3855723025112263,1.3806471006213685,793527.5072566746,0.019638655877555405,5.167911916634327,0.0
Dishwasher [kW](t),6.689978519793154,6.66819771871402,-16346198010.007229,-2.0207445021209463,7.156499596396815,123702.0,1.5653541852768411,1.5599409107633644,89531806633.19592,0.00839545392676301,6.756812905062238,0.0
Fridge [kW](t),6.265067552860311,6.253273387627375,-7677.052093457647,-2.04503574120726,8.556589491812625,123702.0,1.6923357132208572,1.6925306986598603,5257.549056247854,0.015199607774007824,7.851871289706318,0.0
Furnace 1 [kW](t),6.4089565005117946,6.390451931399616,-21380.975775639075,-2.0682456018474578,8.296857733893882,123702.0,1.3880740608734021,1.3829178868694931,83325.47390304953,0.05481065177469176,8.192579310035269,0.0
Furnace 2 [kW](t),6.429351147997481,6.416570008333369,-343353.8057736431,-2.1000884714909094,7.987121654060085,123702.0,1.4785172392819568,1.4766150156965197,889825.1077523285,0.061684710092072756,6.296837227039221,0.0
Garage door [kW](t),5.5866834699337895,5.577603999036972,-35129349.320128925,-2.010441232220669,7.518683964500819,123702.0,1.1219013285081714,1.1215764169819618,183337312.0162114,0.00209319279194141,5.716105136314773,0.0
Home office [kW](t),6.9196217273301475,6.901823524035572,-2583319.202664987,-2.0512062736492176,7.692872002952159,123702.0,1.6578991025837488,1.6495760339262924,13852278.707234278,0.018355700530506596,6.754738280833663,0.0
Kitchen 12 [kW](t),6.436757949405436,6.4244508938639475,-1035831998.2495517,-2.001569320455259,8.42142510864047,123702.0,1.6394566612216455,1.6388019550113404,895422625.8769822,0.0028407348801083214,6.585700758028103,0.0
Kitchen 14 [kW](t),6.450097915009882,6.431556669932135,-2792983503.529821,-2.004896407614958,7.832479355778961,123702.0,1.3774392584066302,1.3850174407501112,15297571482.462349,0.002833711985079143,7.721103792514714,0.0
Kitchen 38 [kW](t),6.89393716660018,6.871676818873649,-502426850088.4316,-2.0000057262611053,11.154656751951668,123702.0,1.4601954783267361,1.456046566800953,209980563224.41156,1.2120248024289961e-06,22.73063369202199,0.0
Living room [kW](t),6.096924786633252,6.079663112460098,-840694160.7275772,-2.024860320945157,8.353391748714358,123702.0,1.2385718947121747,1.2284650946576112,4604646098.896946,0.012880591154249051,9.029768030920867,0.0
Microwave [kW](t),6.493609857222748,6.474942028375904,-281231633.43384516,-2.0078071902682,6.1518549588081,123702.0,1.5486744830133632,1.5498777022952166,1103070660.2128134,0.004328987173816584,3.8435988276464834,0.0
Solar [kW](t),6.682582944145675,6.667687546537816,-4823.898246831449,-2.047994609528147,10.398792868092496,123702.0,1.3882606234962291,1.3856774821520323,4905.98610471052,0.022869253041135896,14.309581677986221,0.0
Well [kW](t),6.294396948840206,6.273794559417729,-175635926.1955061,-2.010928244855454,10.334346272288103,123702.0,1.4231055666066101,1.4159458918467234,961981092.7434742,0.005436437039351254,17.169464151390326,0.0
Wine cellar [kW](t),6.129519280286758,6.1132704501053805,-20306.310940869538,-2.0297469121412783,8.363495225727833,123702.0,1.4965287719991405,1.491419198475777,13766.736337466484,0.020281106514791564,10.0687643378703,0.0
apparentTemperature(t),9.034213138194923,7.474478908886414,-0.7955597079718811,-0.028451239892795816,1.7355675975184752,123702.0,3.670450493990237,3.4042113612710745,3.3904980829386715,0.1885532211473639,2.2609587261705,0.0
dewPoint(t),8.088122864568733,6.8568307209605015,-1.6641538901372819,-0.027145620029529225,1.6442054369903876,123702.0,3.3290552200592223,2.945610841453523,2.661356100089961,0.2401830917212979,1.6696445408497467,0.0
gen [kW](t),6.640870564933077,6.626323968075751,-5176.480782805131,-2.0485533075311286,7.982956670473567,123702.0,1.5032541783238165,1.5038072894865844,6714.598975048622,0.0226764432310331,7.740922616673955,0.0
humidity(t),0.18549306229807705,0.15765480451034028,-0.7593418823959912,-0.03488924500582926,0.5941663447147468,123702.0,0.05900693137031863,0.05728591807906966,2.120576985997017,0.21090513920776474,0.33718227128173145,0.0
precipIntensity(t),6.346151524464912,6.328118752594171,-108328746.72741382,-2.0017480986175324,8.362943385044604,123702.0,1.6633919955554384,1.6638818387891154,500045591.92609924,0.002015161653598888,7.501655170542564,0.0
